id,name,buy,sell,attack,vit,speed,magic,mind,luck,accuracy,critical,throw,back,materia_hole_x2,materia_hole_x1,ap
2213,マスターフィスト,0,1,38,0,0,0,0,0,108,0,0,0,0,6,1
2214,ゴッドハンド,0,1,86,0,0,34,0,0,255,2,0,0,2,0,1
2215,プレミアムハート,0,1,99,0,0,32,0,0,112,0,0,0,4,0,0
2300,ガードロッド,200,70,12,1,0,2,4,0,99,0,1,0,0,1,1
2301,ミスリルロッド,370,185,16,0,0,3,0,0,100,0,1,0,1,0,1
2302,フルメタルロッド,800,400,22,0,0,4,0,0,100,0,1,0,1,1,1
2303,ストライクロッド,1300,650,32,0,0,7,0,0,100,2,1,0,1,2,1
2304,プリズムロッド,2600,1300,40,0,0,10,0,0,105,0,1,0,2,0,1
2305,オーロラロッド,5800,2900,51,0,0,14,0,0,110,0,1,0,2,1,1
2306,ウィザードロッド,1800,900,28,0,0,6,0,0,100,0,1,0,0,3,2
2307,ワイザーロッド,3200,1600,33,0,0,7,0,0,100,0,1,0,0,4,2
2308,フェアリーテイル,2500,1250,37,0,0,8,0,0,103,0,1,0,0,7,1
2309,アンブレラ,0,1900,58,20,0,10,0,0,118,5,1,0,0,0,0
2310,プリンセスガード,0,3750,52,12,0,22,20,0,111,0,1,0,3,1,1
2400,ミスリルクリップ,800,400,24,0,0,6,0,0,100,0,0,0,1,1,1
2401,ギヤマンヘアピン,1300,650,33,0,0,8,0,0,102,0,0,0,1,2,1
2402,シルバーバレッタ,2500,0,40,0,0,10,0,0,110,0,0,0,2,0,1
2403,ゴールドバレッタ,6000,3000,50,0,0,13,0,0,104,0,0,0,2,2,1
2404,アダマンクリップ,11000,5500,60,0,0,15,0,0,106,0,0,0,2,2,1
2405,クリスタルコーム,17000,8500,76,0,0,20,0,0,108,0,0,0,3,0,1
2406,マジックコーム,2000,1000,37,0,0,4,0,0,100,0,0,0,0,3,2
2407,プラチナバレッタ,3500,1750,39,0,0,12,0,0,104,0,0,0,0,4,2
2408,セントクリップ,14000,7000,58,0,0,22,0,0,108,0,0,0,0,8,1
2409,かんざし,6000,3000,57,0,0,15,0,0,120,5,0,1,0,0,0
2410,セラフコーム,0,0,68,0,0,14,0,0,110,0,0,0,0,4,1
2411,ベヒーモスホーン,0,1,91,35,0,26,18,0,75,0,0,0,0,6,0
2412,スプリガンクリップ,0,1,87,0,0,55,0,0,100,0,0,0,3,0,1
2413,リミテッドムーン,0,1,93,0,0,31,0,0,114,0,0,0,4,0,0
2500,イエローメガホン,500,250,36,0,0,8,0,0,100,0,1,0,1,2,1
2501,グリーンメガホン,2400,1200,41,0,0,9,0,0,100,0,1,0,2,0,1
2502,ブルーメガホン,5500,2750,48,0,0,10,0,0,100,0,1,0,2,1,1
2503,レッドメガホン,11000,5500,60,0,0,15,0,0,100,0,1,0,2,2,1
2504,クリスタルメガホン,18000,9000,74,0,0,20,0,0,100,0,1,0,3,0,1
2505,ホワイトメガホン,2300,1150,35,0,0,8,0,0,102,0,1,0,0,3,2
2506,ブラックメガホン,2800,1400,31,0,0,10,0,0,104,0,1,0,0,4,2
2507,シルバーメガホン,3300,1650,28,0,0,14,0,0,106,0,1,0,0,8,1
2508,ほらがい,3000,1500,68,0,0,2,0,0,118,4,1,0,0,0,0
2509,ゴールドメガホン,15000,7500,58,0,0,28,0,0,103,0,1,0,4,0,1
2510,とつげきラッパ,0,1,95,0,0,0,0,0,95,2,1,0,3,0,0
2511,スターライトホン,0,1,88,30,0,31,0,0,102,0,1,0,4,0,1
2512,マーチラスベアー,0,1,95,0,0,44,0,0,110,0,1,0,4,0,0
2600,じゅうじしゅりけん,700,300,23,0,0,6,0,0,100,0,1,1,1,1,1
2601,ブーメラン,1400,700,30,0,0,7,0,0,101,0,1,1,1,2,1
2602,かざぐるま,2600,1300,37,0,0,9,0,0,104,0,1,1,2,0,1
2603,えんげつりん,6000,3000,49,0,0,12,0,0,105,0,1,1,2,1,1
2604,ホークアイ,12000,6000,61,0,0,14,0,0,107,0,1,1,2,2,1
2605,クリスタルクロス,18000,9000,74,0,0,18,0,0,110,0,1,1,3,0,1
2606,かぜきり,2000,1000,30,0,0,7,0,0,103,0,1,1,0,3,2
2607,ツインヴァイパー,3200,1600,36,0,0,8,0,0,108,0,1,1,0,4,2
2608,まんじしゅりけん,14000,7000,68,0,0,18,0,0,110,2,1,1,1,6,1
2609,スーパーボール,3000,1500,68,0,0,10,0,0,120,4,1,1,0,0,0
2610,ふうましゅりけん,6000,3000,64,0,10,0,0,0,113,2,1,1,0,3,1
2611,ライジングサン,0,0,68,0,0,16,0,0,108,0,,1,2,0,2
2612,おりづる,0,1,90,0,0,38,0,0,116,0,1,1,2,4,1
2613,ふぐたいてん,0,1,96,0,0,42,0,0,112,0,1,1,4,0,0
2700,スピア,1200,600,44,0,0,8,0,0,97,0,1,0,2,0,1
2701,スラッシュパイク,6500,3250,56,0,0,10,0,0,98,0,1,0,2,1,1
2702,トライデント,7500,3750,60,0,0,12,0,0,105,0,1,0,0,6,1
2703,ポールアックス,13000,6500,64,0,0,15,0,99,0,1,0,2,2,1,
2704,パルチザン,19000,9500,78,0,0,17,0,0,100,0,1,0,3,0,1
2705,じゃほこ,7000,3500,58,0,0,13,0,0,102,0,1,0,0,4,2
2706,ジャベリン,0,3750,58,0,0,12,0,0,104,0,1,0,2,1,2
2707,グローランス,0,8000,78,0,0,31,0,0,102,0,1,0,3,0,1
2708,モップ,3200,1600,68,0,0,3,0,0,118,5,1,0,0,0,0
2709,ドラグーンランス,6200,3100,66,0,0,7,0,0,100,0,1,0,0,8,0
2710,せいりゅうえんげつとう,0,1,86,0,0,20,0,0,102,0,1,0,1,0,3
2711,ほうてんがげき,0,7500,100,0,0,20,0,0,100,0,1,0,0,6,1
2712,ロンギヌス,0,1,92,0,0,43,20,0,112,0,1,0,2,0,1
2713,ビーナスゴスペル,0,1,97,0,0,42,0,0,103,0,1,0,4,0,0
2800,クイックシルバー,1000,500,38,0,0,10,0,0,110,0,1,1,1,2,1
2801,スパス,3100,1550,48,0,0,12,0,0,112,0,1,1,2,0,1
2802,ランダル,6400,3200,51,0,0,14,0,0,118,0,1,1,2,1,1
2803,ライアット,12000,6000,64,0,0,18,0,0,120,0,1,1,2,2,1
2804,ウィンチェスター,18000,9000,73,0,0,18,0,0,120,0,1,1,3,0,0
2805,ピースメーカー,3500,1750,38,0,0,8,0,0,118,0,1,1,2,1,2
2806,バントライン,6800,3400,48,0,0,18,0,0,124,0,1,1,2,0,2
2807,ロングバレルＲ,13000,6500,66,0,0,14,0,0,255,0,1,1,4,0,1
2808,ぎんだまでっぽう,3000,1500,62,0,0,0,0,0,120,4,1,1,0,0,0
2809,スナイパーＣＲ,3300,1650,42,0,0,7,0,0,255,0,1,1,2,0,1
2810,ハイブロウＳＴ,0,1,80,0,0,48,0,0,120,0,1,1,3,0,0
2811,アウトサーダー,0,1,80,0,0,48,0,0,120,0,1,1,2,4,1
2812,デスペナルティ,0,1,99,0,0,34,0,0,115,0,1,1,4,0,0
2900,まさむね,0,0,99,0,0,0,0,0,255,0,1,0,3,0,1
