wait_same_pos
play_se train_move_and_stop.ogg
chg_npc_img 1779 8
chg_npc_img 1780 7
chg_npc_img 1781 8
chg_npc_img 1782 7
chg_npc_img 1783 8
chg_npc_img 1784 9
chg_npc_img 1785 10
chg_npc_img 1786 4
sleep 4
chg_npc_img 1773 11
chg_npc_img 1774 12
chg_npc_img 1775 13
chg_npc_img 1776 12
chg_npc_img 1777 13
chg_npc_img 1778 12
chg_npc_img 1779 13
chg_npc_img 1780 12
chg_npc_img 1781 13
chg_npc_img 1782 12
chg_npc_img 1783 13
chg_npc_img 1784 14
chg_npc_dir 1734 left
sleep 4
chg_npc_img 1771 15
chg_npc_img 1772 16
chg_npc_img 1773 17
chg_npc_img 1774 18
chg_npc_img 1775 19
chg_npc_img 1776 18
chg_npc_img 1777 19
chg_npc_img 1778 18
chg_npc_img 1779 19
chg_npc_img 1780 18
chg_npc_img 1781 19
chg_npc_img 1782 18
chg_npc_img 1783 20
chg_npc_img 1784 21
chg_npc_img 1785 22
chg_npc_dir 1734 up
sleep 4
chg_npc_img 1772 23
chg_npc_img 1773 24
chg_npc_img 1774 25
chg_npc_img 1775 26
chg_npc_img 1776 25
chg_npc_img 1777 26
chg_npc_img 1778 25
chg_npc_img 1779 26
chg_npc_img 1780 25
chg_npc_img 1781 26
chg_npc_img 1782 25
chg_npc_img 1783 27
chg_npc_img 1784 28
chg_npc_dir 1734 right
sleep 4
chg_npc_img 1771 5
chg_npc_img 1772 6
chg_npc_img 1773 7
chg_npc_img 1774 8
chg_npc_img 1775 7
chg_npc_img 1776 8
chg_npc_img 1777 7
chg_npc_img 1778 8
chg_npc_img 1779 7
chg_npc_img 1780 8
chg_npc_img 1781 7
chg_npc_img 1782 8
chg_npc_img 1783 9
chg_npc_img 1784 10
chg_npc_img 1785 4
chg_npc_dir 1734 down
sleep 4
chg_npc_img 1772 11
chg_npc_img 1773 12
chg_npc_img 1774 13
chg_npc_img 1775 12
chg_npc_img 1776 13
chg_npc_img 1777 12
chg_npc_img 1778 13
chg_npc_img 1779 12
chg_npc_img 1780 13
chg_npc_img 1781 12
chg_npc_img 1782 13
chg_npc_img 1783 14
chg_npc_dir 1734 left
sleep 4
chg_npc_img 1770 15
chg_npc_img 1771 16
chg_npc_img 1772 17
chg_npc_img 1773 18
chg_npc_img 1774 19
chg_npc_img 1775 18
chg_npc_img 1776 19
chg_npc_img 1777 18
chg_npc_img 1778 19
chg_npc_img 1779 18
chg_npc_img 1780 19
chg_npc_img 1781 18
chg_npc_img 1782 20
chg_npc_img 1783 21
chg_npc_img 1784 22
sleep 4
chg_npc_img 1771 23
chg_npc_img 1772 24
chg_npc_img 1773 25
chg_npc_img 1774 26
chg_npc_img 1775 25
chg_npc_img 1776 26
chg_npc_img 1777 25
chg_npc_img 1778 26
chg_npc_img 1779 25
chg_npc_img 1780 26
chg_npc_img 1781 25
chg_npc_img 1782 27
chg_npc_img 1783 28
sleep 4
chg_npc_img 1770 5
chg_npc_img 1771 6
chg_npc_img 1772 7
chg_npc_img 1773 8
chg_npc_img 1774 7
chg_npc_img 1775 8
chg_npc_img 1776 7
chg_npc_img 1777 8
chg_npc_img 1778 7
chg_npc_img 1779 8
chg_npc_img 1780 7
chg_npc_img 1781 8
chg_npc_img 1782 9
chg_npc_img 1783 10
chg_npc_img 1784 4
sleep 4
chg_npc_img 1771 11
chg_npc_img 1772 12
chg_npc_img 1773 13
chg_npc_img 1774 12
chg_npc_img 1775 13
chg_npc_img 1776 12
chg_npc_img 1777 13
chg_npc_img 1778 12
chg_npc_img 1779 13
chg_npc_img 1780 12
chg_npc_img 1781 13
chg_npc_img 1782 14
sleep 4
chg_npc_img 1769 15
chg_npc_img 1770 16
chg_npc_img 1771 17
chg_npc_img 1772 18
chg_npc_img 1773 19
chg_npc_img 1774 18
chg_npc_img 1775 19
chg_npc_img 1776 18
chg_npc_img 1777 19
chg_npc_img 1778 18
chg_npc_img 1779 19
chg_npc_img 1780 18
chg_npc_img 1781 20
chg_npc_img 1782 21
chg_npc_img 1783 22
sleep 4
chg_npc_img 1770 23
chg_npc_img 1771 24
chg_npc_img 1772 25
chg_npc_img 1773 26
chg_npc_img 1774 25
chg_npc_img 1775 26
chg_npc_img 1776 25
chg_npc_img 1777 26
chg_npc_img 1778 25
chg_npc_img 1779 26
chg_npc_img 1780 25
chg_npc_img 1781 27
chg_npc_img 1782 28
sleep 4
chg_npc_img 1769 5
chg_npc_img 1770 6
chg_npc_img 1771 7
chg_npc_img 1772 8
chg_npc_img 1773 7
chg_npc_img 1774 8
chg_npc_img 1775 7
chg_npc_img 1776 8
chg_npc_img 1777 7
chg_npc_img 1778 8
chg_npc_img 1779 7
chg_npc_img 1780 8
chg_npc_img 1781 9
chg_npc_img 1782 10
chg_npc_img 1783 4
sleep 4
chg_npc_img 1770 11
chg_npc_img 1771 12
chg_npc_img 1772 13
chg_npc_img 1773 12
chg_npc_img 1774 13
chg_npc_img 1775 12
chg_npc_img 1776 13
chg_npc_img 1777 12
chg_npc_img 1778 13
chg_npc_img 1779 12
chg_npc_img 1780 13
chg_npc_img 1781 14
move_npc 1734 left 1
sleep 4
chg_npc_img 1768 15
chg_npc_img 1769 16
chg_npc_img 1770 17
chg_npc_img 1771 18
chg_npc_img 1772 19
chg_npc_img 1773 18
chg_npc_img 1774 19
chg_npc_img 1775 18
chg_npc_img 1776 19
chg_npc_img 1777 18
chg_npc_img 1778 19
chg_npc_img 1779 18
chg_npc_img 1780 20
chg_npc_img 1781 21
chg_npc_img 1782 22
sleep 4
chg_npc_img 1769 23
chg_npc_img 1770 24
chg_npc_img 1771 25
chg_npc_img 1772 26
chg_npc_img 1773 25
chg_npc_img 1774 26
chg_npc_img 1775 25
chg_npc_img 1776 26
chg_npc_img 1777 25
chg_npc_img 1778 26
chg_npc_img 1779 25
chg_npc_img 1780 27
chg_npc_img 1781 28
sleep 4
chg_npc_img 1768 5
chg_npc_img 1769 6
chg_npc_img 1770 7
chg_npc_img 1771 8
chg_npc_img 1772 7
chg_npc_img 1773 8
chg_npc_img 1774 7
chg_npc_img 1775 8
chg_npc_img 1776 7
chg_npc_img 1777 8
chg_npc_img 1778 7
chg_npc_img 1779 8
chg_npc_img 1780 9
chg_npc_img 1781 10
chg_npc_img 1782 4
sleep 4
chg_npc_img 1769 11
chg_npc_img 1770 12
chg_npc_img 1771 13
chg_npc_img 1772 12
chg_npc_img 1773 13
chg_npc_img 1774 12
chg_npc_img 1775 13
chg_npc_img 1776 12
chg_npc_img 1777 13
chg_npc_img 1778 12
chg_npc_img 1779 13
chg_npc_img 1780 14
sleep 4
chg_npc_img 1767 15
chg_npc_img 1768 16
chg_npc_img 1769 17
chg_npc_img 1770 18
chg_npc_img 1771 19
chg_npc_img 1772 18
chg_npc_img 1773 19
chg_npc_img 1774 18
chg_npc_img 1775 19
chg_npc_img 1776 18
chg_npc_img 1777 19
chg_npc_img 1778 18
chg_npc_img 1779 20
chg_npc_img 1780 21
chg_npc_img 1781 22
sleep 4
chg_npc_img 1768 23
chg_npc_img 1769 24
chg_npc_img 1770 25
chg_npc_img 1771 26
chg_npc_img 1772 25
chg_npc_img 1773 26
chg_npc_img 1774 25
chg_npc_img 1775 26
chg_npc_img 1776 25
chg_npc_img 1777 26
chg_npc_img 1778 25
chg_npc_img 1779 27
chg_npc_img 1780 28
sleep 4
chg_npc_img 1767 5
chg_npc_img 1768 6
chg_npc_img 1769 7
chg_npc_img 1770 8
chg_npc_img 1771 7
chg_npc_img 1772 8
chg_npc_img 1773 7
chg_npc_img 1774 8
chg_npc_img 1775 7
chg_npc_img 1776 8
chg_npc_img 1777 7
chg_npc_img 1778 8
chg_npc_img 1779 9
chg_npc_img 1780 10
chg_npc_img 1781 4
sleep 4
chg_npc_img 1768 11
chg_npc_img 1769 12
chg_npc_img 1770 13
chg_npc_img 1771 12
chg_npc_img 1772 13
chg_npc_img 1773 12
chg_npc_img 1774 13
chg_npc_img 1775 12
chg_npc_img 1776 13
chg_npc_img 1777 12
chg_npc_img 1778 13
chg_npc_img 1779 14
move_npc 1734 left 1
sleep 4
chg_npc_img 1766 15
chg_npc_img 1767 16
chg_npc_img 1768 17
chg_npc_img 1769 18
chg_npc_img 1770 19
chg_npc_img 1771 18
chg_npc_img 1772 19
chg_npc_img 1773 18
chg_npc_img 1774 19
chg_npc_img 1775 18
chg_npc_img 1776 19
chg_npc_img 1777 18
chg_npc_img 1778 20
chg_npc_img 1779 21
chg_npc_img 1780 22
sleep 4
chg_npc_img 1767 23
chg_npc_img 1768 24
chg_npc_img 1769 25
chg_npc_img 1770 26
chg_npc_img 1771 25
chg_npc_img 1772 26
chg_npc_img 1773 25
chg_npc_img 1774 26
chg_npc_img 1775 25
chg_npc_img 1776 26
chg_npc_img 1777 25
chg_npc_img 1778 27
chg_npc_img 1779 28
sleep 4
chg_npc_img 1766 5
chg_npc_img 1767 6
chg_npc_img 1768 7
chg_npc_img 1769 8
chg_npc_img 1770 7
chg_npc_img 1771 8
chg_npc_img 1772 7
chg_npc_img 1773 8
chg_npc_img 1774 7
chg_npc_img 1775 8
chg_npc_img 1776 7
chg_npc_img 1777 8
chg_npc_img 1778 9
chg_npc_img 1779 10
chg_npc_img 1780 4
sleep 4
chg_npc_img 1767 11
chg_npc_img 1768 12
chg_npc_img 1769 13
chg_npc_img 1770 12
chg_npc_img 1771 13
chg_npc_img 1772 12
chg_npc_img 1773 13
chg_npc_img 1774 12
chg_npc_img 1775 13
chg_npc_img 1776 12
chg_npc_img 1777 13
chg_npc_img 1778 14
sleep 4
chg_npc_img 1765 15
chg_npc_img 1766 16
chg_npc_img 1767 17
chg_npc_img 1768 18
chg_npc_img 1769 19
chg_npc_img 1770 18
chg_npc_img 1771 19
chg_npc_img 1772 18
chg_npc_img 1773 19
chg_npc_img 1774 18
chg_npc_img 1775 19
chg_npc_img 1776 18
chg_npc_img 1777 20
chg_npc_img 1778 21
chg_npc_img 1779 22
sleep 4
chg_npc_img 1766 23
chg_npc_img 1767 24
chg_npc_img 1768 25
chg_npc_img 1769 26
chg_npc_img 1770 25
chg_npc_img 1771 26
chg_npc_img 1772 25
chg_npc_img 1773 26
chg_npc_img 1774 25
chg_npc_img 1775 26
chg_npc_img 1776 25
chg_npc_img 1777 28
chg_npc_img 1778 27
sleep 4
chg_npc_img 1765 5
chg_npc_img 1766 6
chg_npc_img 1767 7
chg_npc_img 1768 8
chg_npc_img 1769 7
chg_npc_img 1770 8
chg_npc_img 1771 7
chg_npc_img 1772 8
chg_npc_img 1773 7
chg_npc_img 1774 8
chg_npc_img 1775 7
chg_npc_img 1776 8
chg_npc_img 1777 9
chg_npc_img 1778 10
chg_npc_img 1779 4
sleep 4
chg_npc_img 1766 11
chg_npc_img 1767 12
chg_npc_img 1768 13
chg_npc_img 1769 12
chg_npc_img 1770 13
chg_npc_img 1771 12
chg_npc_img 1772 13
chg_npc_img 1773 12
chg_npc_img 1774 13
chg_npc_img 1775 12
chg_npc_img 1776 13
chg_npc_img 1777 14
move_npc 1734 left 1
sleep 4
chg_npc_img 1764 15
chg_npc_img 1765 16
chg_npc_img 1766 17
chg_npc_img 1767 18
chg_npc_img 1768 19
chg_npc_img 1769 18
chg_npc_img 1770 19
chg_npc_img 1771 18
chg_npc_img 1772 19
chg_npc_img 1773 18
chg_npc_img 1774 19
chg_npc_img 1775 18
chg_npc_img 1776 20
chg_npc_img 1777 21
chg_npc_img 1778 22
sleep 4
chg_npc_img 1765 23
chg_npc_img 1766 24
chg_npc_img 1767 25
chg_npc_img 1768 26
chg_npc_img 1769 25
chg_npc_img 1770 26
chg_npc_img 1771 25
chg_npc_img 1772 26
chg_npc_img 1773 25
chg_npc_img 1774 26
chg_npc_img 1775 25
chg_npc_img 1776 27
chg_npc_img 1777 28
sleep 4
chg_npc_img 1764 5
chg_npc_img 1765 6
chg_npc_img 1766 7
chg_npc_img 1767 8
chg_npc_img 1768 7
chg_npc_img 1769 8
chg_npc_img 1770 7
chg_npc_img 1771 8
chg_npc_img 1772 7
chg_npc_img 1773 8
chg_npc_img 1774 7
chg_npc_img 1775 8
chg_npc_img 1776 9
chg_npc_img 1777 10
chg_npc_img 1778 4
sleep 4
chg_npc_img 1765 11
chg_npc_img 1766 12
chg_npc_img 1767 13
chg_npc_img 1768 12
chg_npc_img 1769 13
chg_npc_img 1770 12
chg_npc_img 1771 13
chg_npc_img 1772 12
chg_npc_img 1773 13
chg_npc_img 1774 12
chg_npc_img 1775 13
chg_npc_img 1776 14
sleep 4
chg_npc_img 1763 15
chg_npc_img 1764 16
chg_npc_img 1765 17
chg_npc_img 1766 18
chg_npc_img 1767 19
chg_npc_img 1768 18
chg_npc_img 1769 19
chg_npc_img 1770 18
chg_npc_img 1771 19
chg_npc_img 1772 18
chg_npc_img 1773 19
chg_npc_img 1774 18
chg_npc_img 1775 20
chg_npc_img 1776 21
chg_npc_img 1777 22
sleep 4
chg_npc_img 1764 23
chg_npc_img 1765 24
chg_npc_img 1766 25
chg_npc_img 1767 26
chg_npc_img 1768 25
chg_npc_img 1769 26
chg_npc_img 1770 25
chg_npc_img 1771 26
chg_npc_img 1772 27
chg_npc_img 1773 26
chg_npc_img 1774 25
chg_npc_img 1775 27
chg_npc_img 1776 28
sleep 4
chg_npc_img 1763 5
chg_npc_img 1764 6
chg_npc_img 1765 7
chg_npc_img 1766 8
chg_npc_img 1767 7
chg_npc_img 1768 8
chg_npc_img 1769 7
chg_npc_img 1770 8
chg_npc_img 1771 7
chg_npc_img 1772 8
chg_npc_img 1773 7
chg_npc_img 1774 8
chg_npc_img 1775 9
chg_npc_img 1776 10
chg_npc_img 1777 4
sleep 4
chg_npc_img 1764 11
chg_npc_img 1765 12
chg_npc_img 1766 13
chg_npc_img 1767 12
chg_npc_img 1768 13
chg_npc_img 1769 12
chg_npc_img 1770 13
chg_npc_img 1771 12
chg_npc_img 1772 13
chg_npc_img 1773 12
chg_npc_img 1774 13
chg_npc_img 1775 14
move_npc 1734 left 1
sleep 4
chg_npc_img 1762 15
chg_npc_img 1763 16
chg_npc_img 1764 17
chg_npc_img 1765 18
chg_npc_img 1766 19
chg_npc_img 1767 18
chg_npc_img 1768 19
chg_npc_img 1769 18
chg_npc_img 1770 19
chg_npc_img 1771 18
chg_npc_img 1772 19
chg_npc_img 1773 18
chg_npc_img 1774 20
chg_npc_img 1775 21
chg_npc_img 1776 22
sleep 4
chg_npc_img 1763 23
chg_npc_img 1764 24
chg_npc_img 1765 25
chg_npc_img 1766 26
chg_npc_img 1767 25
chg_npc_img 1768 26
chg_npc_img 1769 25
chg_npc_img 1770 26
chg_npc_img 1771 25
chg_npc_img 1772 26
chg_npc_img 1773 25
chg_npc_img 1774 27
chg_npc_img 1775 28
sleep 4
chg_npc_img 1762 5
chg_npc_img 1763 6
chg_npc_img 1764 7
chg_npc_img 1765 8
chg_npc_img 1766 7
chg_npc_img 1767 8
chg_npc_img 1768 7
chg_npc_img 1769 8
chg_npc_img 1770 7
chg_npc_img 1771 8
chg_npc_img 1772 7
chg_npc_img 1773 8
chg_npc_img 1774 9
chg_npc_img 1775 10
chg_npc_img 1776 4
sleep 4
chg_npc_img 1763 11
chg_npc_img 1764 12
chg_npc_img 1765 13
chg_npc_img 1766 12
chg_npc_img 1767 13
chg_npc_img 1768 12
chg_npc_img 1769 13
chg_npc_img 1770 12
chg_npc_img 1771 13
chg_npc_img 1772 12
chg_npc_img 1773 13
chg_npc_img 1774 14
sleep 4
chg_npc_img 1761 15
chg_npc_img 1762 16
chg_npc_img 1763 17
chg_npc_img 1764 18
chg_npc_img 1765 19
chg_npc_img 1766 18
chg_npc_img 1767 19
chg_npc_img 1768 18
chg_npc_img 1769 19
chg_npc_img 1770 18
chg_npc_img 1771 19
chg_npc_img 1772 13
chg_npc_img 1773 12
chg_npc_img 1774 13
chg_npc_img 1775 14
sleep 4
chg_npc_img 1762 23
chg_npc_img 1763 24
chg_npc_img 1764 25
chg_npc_img 1765 26
chg_npc_img 1766 25
chg_npc_img 1767 26
chg_npc_img 1768 25
chg_npc_img 1769 26
chg_npc_img 1770 25
chg_npc_img 1771 26
chg_npc_img 1772 25
chg_npc_img 1773 27
chg_npc_img 1774 28
sleep 4
chg_npc_img 1761 5
chg_npc_img 1762 6
chg_npc_img 1763 7
chg_npc_img 1764 8
chg_npc_img 1765 7
chg_npc_img 1766 8
chg_npc_img 1767 7
chg_npc_img 1768 8
chg_npc_img 1769 7
chg_npc_img 1770 8
chg_npc_img 1771 7
chg_npc_img 1772 8
chg_npc_img 1773 9
chg_npc_img 1774 10
chg_npc_img 1775 4
sleep 4
chg_npc_img 1762 11
chg_npc_img 1763 12
chg_npc_img 1764 13
chg_npc_img 1765 12
chg_npc_img 1766 13
chg_npc_img 1767 12
chg_npc_img 1768 13
chg_npc_img 1769 12
chg_npc_img 1770 13
chg_npc_img 1771 12
chg_npc_img 1772 13
chg_npc_img 1773 14
move_npc 1734 left 1
sleep 4
chg_npc_img 1760 15
chg_npc_img 1761 16
chg_npc_img 1762 17
chg_npc_img 1763 18
chg_npc_img 1764 19
chg_npc_img 1765 18
chg_npc_img 1766 19
chg_npc_img 1767 18
chg_npc_img 1768 19
chg_npc_img 1769 18
chg_npc_img 1770 19
chg_npc_img 1771 18
chg_npc_img 1772 20
chg_npc_img 1773 21
chg_npc_img 1774 22
sleep 4
chg_npc_img 1761 23
chg_npc_img 1762 24
chg_npc_img 1763 25
chg_npc_img 1764 26
chg_npc_img 1765 25
chg_npc_img 1766 26
chg_npc_img 1767 25
chg_npc_img 1768 26
chg_npc_img 1769 25
chg_npc_img 1770 26
chg_npc_img 1771 25
chg_npc_img 1772 27
chg_npc_img 1773 28
sleep 4
chg_npc_img 1760 5
chg_npc_img 1761 6
chg_npc_img 1762 7
chg_npc_img 1763 8
chg_npc_img 1764 7
chg_npc_img 1765 8
chg_npc_img 1766 7
chg_npc_img 1767 8
chg_npc_img 1768 7
chg_npc_img 1769 8
chg_npc_img 1770 7
chg_npc_img 1771 8
chg_npc_img 1772 9
chg_npc_img 1773 10
chg_npc_img 1774 4
sleep 4
chg_npc_img 1761 11
chg_npc_img 1762 12
chg_npc_img 1763 13
chg_npc_img 1764 12
chg_npc_img 1765 13
chg_npc_img 1766 12
chg_npc_img 1767 13
chg_npc_img 1768 12
chg_npc_img 1769 13
chg_npc_img 1770 12
chg_npc_img 1771 13
chg_npc_img 1772 14
sleep 4
chg_npc_img 1759 15
chg_npc_img 1760 16
chg_npc_img 1761 17
chg_npc_img 1762 18
chg_npc_img 1763 19
chg_npc_img 1764 18
chg_npc_img 1765 19
chg_npc_img 1766 18
chg_npc_img 1767 19
chg_npc_img 1768 18
chg_npc_img 1769 19
chg_npc_img 1770 18
chg_npc_img 1771 20
chg_npc_img 1772 21
chg_npc_img 1773 22
sleep 4
chg_npc_img 1760 23
chg_npc_img 1761 24
chg_npc_img 1762 25
chg_npc_img 1763 26
chg_npc_img 1764 25
chg_npc_img 1765 26
chg_npc_img 1766 25
chg_npc_img 1767 26
chg_npc_img 1768 25
chg_npc_img 1769 26
chg_npc_img 1770 25
chg_npc_img 1771 27
chg_npc_img 1772 28
sleep 4
chg_npc_img 1759 5
chg_npc_img 1760 6
chg_npc_img 1761 7
chg_npc_img 1762 8
chg_npc_img 1763 7
chg_npc_img 1764 8
chg_npc_img 1765 7
chg_npc_img 1766 8
chg_npc_img 1767 7
chg_npc_img 1768 8
chg_npc_img 1769 7
chg_npc_img 1770 8
chg_npc_img 1771 9
chg_npc_img 1772 10
chg_npc_img 1773 4
sleep 4
chg_npc_img 1760 11
chg_npc_img 1761 12
chg_npc_img 1762 13
chg_npc_img 1763 12
chg_npc_img 1764 13
chg_npc_img 1765 12
chg_npc_img 1766 13
chg_npc_img 1767 12
chg_npc_img 1768 13
chg_npc_img 1769 12
chg_npc_img 1770 13
chg_npc_img 1771 14
move_npc 1734 left 1
sleep 4
chg_npc_img 1758 15
chg_npc_img 1759 16
chg_npc_img 1760 17
chg_npc_img 1761 18
chg_npc_img 1762 19
chg_npc_img 1763 18
chg_npc_img 1764 19
chg_npc_img 1765 18
chg_npc_img 1766 19
chg_npc_img 1767 18
chg_npc_img 1768 19
chg_npc_img 1769 18
chg_npc_img 1770 20
chg_npc_img 1771 21
chg_npc_img 1772 22
sleep 4
chg_npc_img 1759 23
chg_npc_img 1760 24
chg_npc_img 1761 25
chg_npc_img 1762 26
chg_npc_img 1763 25
chg_npc_img 1764 26
chg_npc_img 1765 25
chg_npc_img 1766 26
chg_npc_img 1767 25
chg_npc_img 1768 26
chg_npc_img 1769 25
chg_npc_img 1770 27
chg_npc_img 1771 28
sleep 4
chg_npc_img 1758 5
chg_npc_img 1759 6
chg_npc_img 1760 7
chg_npc_img 1761 8
chg_npc_img 1762 7
chg_npc_img 1763 8
chg_npc_img 1764 7
chg_npc_img 1765 8
chg_npc_img 1766 7
chg_npc_img 1767 8
chg_npc_img 1768 7
chg_npc_img 1769 8
chg_npc_img 1770 9
chg_npc_img 1771 10
chg_npc_img 1772 4
sleep 4
chg_npc_img 1759 11
chg_npc_img 1760 12
chg_npc_img 1761 13
chg_npc_img 1762 12
chg_npc_img 1763 13
chg_npc_img 1764 12
chg_npc_img 1765 13
chg_npc_img 1766 12
chg_npc_img 1767 13
chg_npc_img 1768 12
chg_npc_img 1769 13
chg_npc_img 1770 14
sleep 4
chg_npc_img 1757 15
chg_npc_img 1758 16
chg_npc_img 1759 17
chg_npc_img 1760 18
chg_npc_img 1761 19
chg_npc_img 1762 18
chg_npc_img 1763 19
chg_npc_img 1764 18
chg_npc_img 1765 19
chg_npc_img 1766 18
chg_npc_img 1767 19
chg_npc_img 1768 18
chg_npc_img 1769 20
chg_npc_img 1770 21
chg_npc_img 1771 22
sleep 4
chg_npc_img 1758 23
chg_npc_img 1759 24
chg_npc_img 1760 25
chg_npc_img 1761 26
chg_npc_img 1762 25
chg_npc_img 1763 26
chg_npc_img 1764 25
chg_npc_img 1765 26
chg_npc_img 1766 25
chg_npc_img 1767 26
chg_npc_img 1768 25
chg_npc_img 1769 27
chg_npc_img 1770 28
sleep 4
chg_npc_img 1757 5
chg_npc_img 1758 6
chg_npc_img 1759 7
chg_npc_img 1760 8
chg_npc_img 1761 7
chg_npc_img 1762 8
chg_npc_img 1763 7
chg_npc_img 1764 8
chg_npc_img 1765 7
chg_npc_img 1766 8
chg_npc_img 1767 7
chg_npc_img 1768 8
chg_npc_img 1769 9
chg_npc_img 1770 10
chg_npc_img 1771 4
sleep 4
chg_npc_img 1758 11
chg_npc_img 1759 12
chg_npc_img 1760 13
chg_npc_img 1761 12
chg_npc_img 1762 13
chg_npc_img 1763 12
chg_npc_img 1764 13
chg_npc_img 1765 12
chg_npc_img 1766 13
chg_npc_img 1767 12
chg_npc_img 1768 13
chg_npc_img 1769 14
move_npc 1734 left 1
sleep 4
chg_npc_img 1756 15
chg_npc_img 1757 16
chg_npc_img 1758 17
chg_npc_img 1759 18
chg_npc_img 1760 19
chg_npc_img 1761 18
chg_npc_img 1762 19
chg_npc_img 1763 18
chg_npc_img 1764 19
chg_npc_img 1765 18
chg_npc_img 1766 19
chg_npc_img 1767 18
chg_npc_img 1768 20
chg_npc_img 1769 21
chg_npc_img 1770 22
sleep 4
chg_npc_img 1757 23
chg_npc_img 1758 24
chg_npc_img 1759 25
chg_npc_img 1760 26
chg_npc_img 1761 25
