キャラ番号（-xはdirectionの数値）/キャラ名
0	クラウド
116	ボタン押し（バレット）&ボタン：　-1:-:0ボタンON/OFF　　-2:-3:バレット
117	ボタン押し（バレット&ティファ）:　-1:-0:バレット　　-2:-3:ティファ
118	セーブポイント
119	ジェシー銃
120	-1:クラウド（苦悶）　　-2:クラウド影(左)　　-0:クラウド影(右)　　-3:ティファ（ちょっとせのび）慟哭
121	0:セフィロス長剣　　1:影(大)　　2:影(小)　　3:Debug Loadマシン
122	エアバスター
123	ヘリコプター&サイドシェル
124	煙
125	スクワット（ディオ&ムッキー）
126	スクワット（クラウド）
127	スクワット（ムッキー）
128	0/1:ワイヤー	2/3:騎士
129	エアリス（ドレスアップ）
130	ティファ（ドレスアップ）
131	マフィア
132	ソッチ
133	コッチ
134-1　 コッチ（磔）
135	1:ハイデッカー（笑い）	2:スカーレット（笑い）	0:宝条（笑い）
136	クラウド母
137	チョコボ＆マフィア
138	チョコボ＆ティファ
139	樽
140	神羅兵いろいろ
141	神羅兵銃
142	列車－暗（下向き）
143-1	クラウド（しゃがみ）	143-2&0	クラウド（かまえ）
144	ビッグス＆ウェッジ銃
145	バレット銃
146	ヘリ右
147	タークス（バリエーション）
148	ヘリ左（※レノ、ツォン、エアリス搭乗時用に色を減色）
149	ヘリ右（※レノ、ツォン、エアリス搭乗時用に色を減色）
150	驚き男性
151	驚き女性
152	驚き女性 ドレスアップティファ（予定）
153	驚き男性（予定）
154	岩
155	0-幼エアリス（転倒）　1-バレット（転倒）　2-ティファ（転倒）　3-宝条（転倒）
156	0-クエスチョン　1-モヤモヤ　2-エクスクラメーション　3-zzz
157	クラウド（登り）
158	幼エアリス
159	0,3-プレート断面ギミック・クレーン　1,2-数字（エレベーター）
160	1,2-トラック右(1列目)　0,3-トラック右(2列目)
161	1,2-トラック右(3列目)　0,3-バイク右
162	ドミノ市長
163	助役ハット
164	本
165	1-ロックゲート　0,2-ランニングマシン　3-メモ
166	神羅課長
167	1-ミッドガル模型
168	1-鉄格子　2-アイテム(袋2)　0-ガラス破片　3-アイテム(袋3)
169	クラウド（ほふく前進）
170	1,2-バレット（ほふく前進）　0,3-ティファ（ほふく前進）
171	0,2,3-レッド13（回転）　1-スカーレット（見上げる）
172	クラウド（拘束）
173	バレット（拘束）
174	ティファ（拘束）
175	1,2-ティファ（寝る）0,3-エアリス（寝る）
176	2-バレット（寝る）0-レッド13（寝る）
177	1,2-神羅社員男（死亡）0,3-神羅社員女（死亡）
178	1,2ルーファウス髪ファッサー
179	バイク右（クラウド）
180	バイク左（クラウド）
181	1,2-バイク前（クラウド）　0,3-バイク後（クラウド）
182	1,2,0-トラック前
183 1,2,0--トラック後
184 トラック左
185 1,2-トラック左　0,3-バイク左
186 1,2-バイク前（神羅兵）　0,3-バイク後（神羅兵）
187 1,2-バイク前（神羅隊長）　0,3-バイク後（神羅隊長）
188 モーターボール
