wait_same_pos
play_se train_noise_close.ogg
chg_npc_img 1775 13
chg_npc_img 1776 12
chg_npc_img 1777 13
chg_npc_img 1778 12
chg_npc_img 1779 13
chg_npc_img 1780 14
sleep 4
chg_npc_img 1771 15
chg_npc_img 1772 16
chg_npc_img 1773 17
chg_npc_img 1774 18
chg_npc_img 1775 19
chg_npc_img 1776 18
chg_npc_img 1777 19
chg_npc_img 1778 18
chg_npc_img 1779 20
chg_npc_img 1780 21
chg_npc_img 1781 22
sleep 4
chg_npc_img 1772 23
chg_npc_img 1773 24
chg_npc_img 1774 25
chg_npc_img 1775 26
chg_npc_img 1776 25
chg_npc_img 1777 26
chg_npc_img 1778 25
chg_npc_img 1779 27
chg_npc_img 1780 28
sleep 4
chg_npc_img 1771 5
chg_npc_img 1772 6
chg_npc_img 1773 7
chg_npc_img 1774 8
chg_npc_img 1775 7
chg_npc_img 1776 8
chg_npc_img 1777 7
chg_npc_img 1778 8
chg_npc_img 1779 9
chg_npc_img 1780 10
chg_npc_img 1781 4
sleep 4
chg_npc_img 1772 11
chg_npc_img 1773 12
chg_npc_img 1774 13
chg_npc_img 1775 12
chg_npc_img 1776 13
chg_npc_img 1777 12
chg_npc_img 1778 13
chg_npc_img 1779 14
sleep 4
chg_npc_img 1770 15
chg_npc_img 1771 16
chg_npc_img 1772 17
chg_npc_img 1773 18
chg_npc_img 1774 19
chg_npc_img 1775 18
chg_npc_img 1776 19
chg_npc_img 1777 18
chg_npc_img 1778 20
chg_npc_img 1779 21
chg_npc_img 1780 22
sleep 4
chg_npc_img 1771 23
chg_npc_img 1772 24
chg_npc_img 1773 25
chg_npc_img 1774 26
chg_npc_img 1775 25
chg_npc_img 1776 26
chg_npc_img 1777 25
chg_npc_img 1778 27
chg_npc_img 1779 28
sleep 4
chg_npc_img 1770 5
chg_npc_img 1771 6
chg_npc_img 1772 7
chg_npc_img 1773 8
chg_npc_img 1774 7
chg_npc_img 1775 8
chg_npc_img 1776 7
chg_npc_img 1777 8
chg_npc_img 1778 9
chg_npc_img 1779 10
chg_npc_img 1780 4
sleep 4
chg_npc_img 1771 11
chg_npc_img 1772 12
chg_npc_img 1773 13
chg_npc_img 1774 12
chg_npc_img 1775 13
chg_npc_img 1776 12
chg_npc_img 1777 13
chg_npc_img 1778 14
sleep 4
chg_npc_img 1769 15
chg_npc_img 1770 16
chg_npc_img 1771 17
chg_npc_img 1772 18
chg_npc_img 1773 19
chg_npc_img 1774 18
chg_npc_img 1775 19
chg_npc_img 1776 18
chg_npc_img 1777 20
chg_npc_img 1778 21
chg_npc_img 1779 22
sleep 4
chg_npc_img 1770 23
chg_npc_img 1771 24
chg_npc_img 1772 25
chg_npc_img 1773 26
chg_npc_img 1774 25
chg_npc_img 1775 26
chg_npc_img 1776 25
chg_npc_img 1777 27
chg_npc_img 1778 28
sleep 4
chg_npc_img 1769 5
chg_npc_img 1770 6
chg_npc_img 1771 7
chg_npc_img 1772 8
chg_npc_img 1773 7
chg_npc_img 1774 8
chg_npc_img 1775 7
chg_npc_img 1776 8
chg_npc_img 1777 9
chg_npc_img 1778 10
chg_npc_img 1779 4
sleep 4
chg_npc_img 1770 11
chg_npc_img 1771 12
chg_npc_img 1772 13
chg_npc_img 1773 12
chg_npc_img 1774 13
chg_npc_img 1775 12
chg_npc_img 1776 13
chg_npc_img 1777 14
sleep 4
chg_npc_img 1768 15
chg_npc_img 1769 16
chg_npc_img 1770 17
chg_npc_img 1771 18
chg_npc_img 1772 19
chg_npc_img 1773 18
chg_npc_img 1774 19
chg_npc_img 1775 18
chg_npc_img 1776 20
chg_npc_img 1777 21
chg_npc_img 1778 22
sleep 4
chg_npc_img 1769 23
chg_npc_img 1770 24
chg_npc_img 1771 25
chg_npc_img 1772 26
chg_npc_img 1773 25
chg_npc_img 1774 26
chg_npc_img 1775 25
chg_npc_img 1776 27
chg_npc_img 1777 28
sleep 4
chg_npc_img 1768 5
chg_npc_img 1769 6
chg_npc_img 1770 7
chg_npc_img 1771 8
chg_npc_img 1772 7
chg_npc_img 1773 8
chg_npc_img 1774 7
chg_npc_img 1775 8
chg_npc_img 1776 9
chg_npc_img 1777 10
chg_npc_img 1778 4
sleep 4
chg_npc_img 1769 11
chg_npc_img 1770 12
chg_npc_img 1771 13
chg_npc_img 1772 12
chg_npc_img 1773 13
chg_npc_img 1774 12
chg_npc_img 1775 13
chg_npc_img 1776 14
sleep 4
chg_npc_img 1767 15
chg_npc_img 1768 16
chg_npc_img 1769 17
chg_npc_img 1770 18
chg_npc_img 1771 19
chg_npc_img 1772 18
chg_npc_img 1773 19
chg_npc_img 1774 18
chg_npc_img 1775 20
chg_npc_img 1776 21
chg_npc_img 1777 22
sleep 4
chg_npc_img 1768 23
chg_npc_img 1769 24
chg_npc_img 1770 25
chg_npc_img 1771 26
chg_npc_img 1772 25
chg_npc_img 1773 26
chg_npc_img 1774 25
chg_npc_img 1775 27
chg_npc_img 1776 28
sleep 4
chg_npc_img 1767 5
chg_npc_img 1768 6
chg_npc_img 1769 7
chg_npc_img 1770 8
chg_npc_img 1771 7
chg_npc_img 1772 8
chg_npc_img 1773 7
chg_npc_img 1774 8
chg_npc_img 1775 9
chg_npc_img 1776 10
chg_npc_img 1777 4
sleep 4
chg_npc_img 1768 11
chg_npc_img 1769 12
chg_npc_img 1770 13
chg_npc_img 1771 12
chg_npc_img 1772 13
chg_npc_img 1773 12
chg_npc_img 1774 13
chg_npc_img 1775 14
sleep 4
chg_npc_img 1766 15
chg_npc_img 1767 16
chg_npc_img 1768 17
chg_npc_img 1769 18
chg_npc_img 1770 19
chg_npc_img 1771 18
chg_npc_img 1772 19
chg_npc_img 1773 18
chg_npc_img 1774 20
chg_npc_img 1775 21
chg_npc_img 1776 22
sleep 4
chg_npc_img 1767 23
chg_npc_img 1768 24
chg_npc_img 1769 25
chg_npc_img 1770 26
chg_npc_img 1771 25
chg_npc_img 1772 26
chg_npc_img 1773 25
chg_npc_img 1774 27
chg_npc_img 1775 28
sleep 4
chg_npc_img 1766 5
chg_npc_img 1767 6
chg_npc_img 1768 7
chg_npc_img 1769 8
chg_npc_img 1770 7
chg_npc_img 1771 8
chg_npc_img 1772 7
chg_npc_img 1773 8
chg_npc_img 1774 9
chg_npc_img 1775 10
chg_npc_img 1776 4
sleep 4
chg_npc_img 1767 11
chg_npc_img 1768 12
chg_npc_img 1769 13
chg_npc_img 1770 12
chg_npc_img 1771 13
chg_npc_img 1772 12
chg_npc_img 1773 13
chg_npc_img 1774 14
sleep 4
chg_npc_img 1765 15
chg_npc_img 1766 16
chg_npc_img 1767 17
chg_npc_img 1768 18
chg_npc_img 1769 19
chg_npc_img 1770 18
chg_npc_img 1771 19
chg_npc_img 1772 18
chg_npc_img 1773 20
chg_npc_img 1774 21
chg_npc_img 1775 22
sleep 4
chg_npc_img 1766 23
chg_npc_img 1767 24
chg_npc_img 1768 25
chg_npc_img 1769 26
chg_npc_img 1770 25
chg_npc_img 1771 26
chg_npc_img 1772 25
chg_npc_img 1773 27
chg_npc_img 1774 28
sleep 4
chg_npc_img 1765 5
chg_npc_img 1766 6
chg_npc_img 1767 7
chg_npc_img 1768 8
chg_npc_img 1769 7
chg_npc_img 1770 8
chg_npc_img 1771 7
chg_npc_img 1772 8
chg_npc_img 1773 9
chg_npc_img 1774 10
chg_npc_img 1775 4
sleep 4
chg_npc_img 1766 11
chg_npc_img 1767 12
chg_npc_img 1768 13
chg_npc_img 1769 12
chg_npc_img 1770 13
chg_npc_img 1771 12
chg_npc_img 1772 13
chg_npc_img 1773 14
sleep 4
chg_npc_img 1764 15
chg_npc_img 1765 16
chg_npc_img 1766 17
chg_npc_img 1767 18
chg_npc_img 1768 19
chg_npc_img 1769 18
chg_npc_img 1770 19
chg_npc_img 1771 18
chg_npc_img 1772 20
chg_npc_img 1773 21
chg_npc_img 1774 22
sleep 4
chg_npc_img 1765 23
chg_npc_img 1766 24
chg_npc_img 1767 25
chg_npc_img 1768 26
chg_npc_img 1769 25
chg_npc_img 1770 26
chg_npc_img 1771 25
chg_npc_img 1772 27
chg_npc_img 1773 28
sleep 4
chg_npc_img 1764 5
chg_npc_img 1765 6
chg_npc_img 1766 7
chg_npc_img 1767 8
chg_npc_img 1768 7
chg_npc_img 1769 8
chg_npc_img 1770 7
chg_npc_img 1771 8
chg_npc_img 1772 9
chg_npc_img 1773 10
chg_npc_img 1774 4
sleep 4
chg_npc_img 1765 11
chg_npc_img 1766 12
chg_npc_img 1767 13
chg_npc_img 1768 12
chg_npc_img 1769 13
chg_npc_img 1770 12
chg_npc_img 1771 13
chg_npc_img 1772 14
sleep 4
chg_npc_img 1763 15
chg_npc_img 1764 16
chg_npc_img 1765 17
chg_npc_img 1766 18
chg_npc_img 1767 19
chg_npc_img 1768 18
chg_npc_img 1769 19
chg_npc_img 1770 18
chg_npc_img 1771 20
chg_npc_img 1772 21
chg_npc_img 1773 22
sleep 4
chg_npc_img 1764 23
chg_npc_img 1765 24
chg_npc_img 1766 25
chg_npc_img 1767 26
chg_npc_img 1768 25
chg_npc_img 1769 26
chg_npc_img 1770 25
chg_npc_img 1771 27
chg_npc_img 1772 28
sleep 4
chg_npc_img 1763 5
chg_npc_img 1764 6
chg_npc_img 1765 7
chg_npc_img 1766 8
chg_npc_img 1767 7
chg_npc_img 1768 8
chg_npc_img 1769 7
chg_npc_img 1770 8
chg_npc_img 1771 9
chg_npc_img 1772 10
chg_npc_img 1773 4
sleep 4
chg_npc_img 1764 11
chg_npc_img 1765 12
chg_npc_img 1766 13
chg_npc_img 1767 12
chg_npc_img 1768 13
chg_npc_img 1769 12
chg_npc_img 1770 13
chg_npc_img 1771 14
sleep 4
chg_npc_img 1762 15
chg_npc_img 1763 16
chg_npc_img 1764 17
chg_npc_img 1765 18
chg_npc_img 1766 19
chg_npc_img 1767 18
chg_npc_img 1768 19
chg_npc_img 1769 18
chg_npc_img 1770 20
chg_npc_img 1771 21
chg_npc_img 1772 22
sleep 4
chg_npc_img 1763 23
chg_npc_img 1764 24
chg_npc_img 1765 25
chg_npc_img 1766 26
chg_npc_img 1767 25
chg_npc_img 1768 26
chg_npc_img 1769 25
chg_npc_img 1770 27
chg_npc_img 1771 28
sleep 4
chg_npc_img 1762 5
chg_npc_img 1763 6
chg_npc_img 1764 7
chg_npc_img 1765 8
chg_npc_img 1766 7
chg_npc_img 1767 8
chg_npc_img 1768 7
chg_npc_img 1769 8
chg_npc_img 1770 9
chg_npc_img 1771 10
chg_npc_img 1772 4
sleep 4
chg_npc_img 1763 11
chg_npc_img 1764 12
chg_npc_img 1765 13
chg_npc_img 1766 12
chg_npc_img 1767 13
chg_npc_img 1768 12
chg_npc_img 1769 13
chg_npc_img 1770 14
sleep 4
chg_npc_img 1761 15
chg_npc_img 1762 16
chg_npc_img 1763 17
chg_npc_img 1764 18
chg_npc_img 1765 19
chg_npc_img 1766 18
chg_npc_img 1767 19
chg_npc_img 1768 18
chg_npc_img 1769 20
chg_npc_img 1770 21
chg_npc_img 1771 22
sleep 4
chg_npc_img 1762 23
chg_npc_img 1763 24
chg_npc_img 1764 25
chg_npc_img 1765 26
chg_npc_img 1766 25
chg_npc_img 1767 26
chg_npc_img 1768 25
chg_npc_img 1769 27
chg_npc_img 1770 28
sleep 4
chg_npc_img 1761 5
chg_npc_img 1762 6
chg_npc_img 1763 7
chg_npc_img 1764 8
chg_npc_img 1765 7
chg_npc_img 1766 8
chg_npc_img 1767 7
chg_npc_img 1768 8
chg_npc_img 1769 9
chg_npc_img 1770 10
chg_npc_img 1771 4
sleep 4
chg_npc_img 1762 11
chg_npc_img 1763 12
chg_npc_img 1764 13
chg_npc_img 1765 12
chg_npc_img 1766 13
chg_npc_img 1767 12
chg_npc_img 1768 13
chg_npc_img 1769 14
sleep 4
chg_npc_img 1760 15
chg_npc_img 1761 16
chg_npc_img 1762 17
chg_npc_img 1763 18
chg_npc_img 1764 19
chg_npc_img 1765 18
chg_npc_img 1766 19
chg_npc_img 1767 18
chg_npc_img 1768 20
chg_npc_img 1769 21
chg_npc_img 1770 22
sleep 4
chg_npc_img 1761 23
chg_npc_img 1762 24
chg_npc_img 1763 25
chg_npc_img 1764 26
chg_npc_img 1765 25
chg_npc_img 1766 26
chg_npc_img 1767 25
chg_npc_img 1768 27
chg_npc_img 1769 28
sleep 4
chg_npc_img 1760 5
chg_npc_img 1761 6
chg_npc_img 1762 7
chg_npc_img 1763 8
chg_npc_img 1764 7
chg_npc_img 1765 8
chg_npc_img 1766 7
chg_npc_img 1767 8
chg_npc_img 1768 9
chg_npc_img 1769 10
chg_npc_img 1770 4
sleep 4
chg_npc_img 1761 11
chg_npc_img 1762 12
chg_npc_img 1763 13
chg_npc_img 1764 12
chg_npc_img 1765 13
chg_npc_img 1766 12
chg_npc_img 1767 13
chg_npc_img 1768 14
sleep 4
chg_npc_img 1759 15
chg_npc_img 1760 16
chg_npc_img 1761 17
chg_npc_img 1762 18
chg_npc_img 1763 19
chg_npc_img 1764 18
chg_npc_img 1765 19
chg_npc_img 1766 18
chg_npc_img 1767 20
chg_npc_img 1768 21
chg_npc_img 1769 22
sleep 4
chg_npc_img 1760 23
chg_npc_img 1761 24
chg_npc_img 1762 25
chg_npc_img 1763 26
chg_npc_img 1764 25
chg_npc_img 1765 26
chg_npc_img 1766 25
chg_npc_img 1767 27
chg_npc_img 1768 28
sleep 4
chg_npc_img 1759 5
chg_npc_img 1760 6
chg_npc_img 1761 7
chg_npc_img 1762 8
chg_npc_img 1763 7
chg_npc_img 1764 8
chg_npc_img 1765 7
chg_npc_img 1766 8
chg_npc_img 1767 9
chg_npc_img 1768 10
chg_npc_img 1769 4
sleep 4
chg_npc_img 1760 11
chg_npc_img 1761 12
chg_npc_img 1762 13
chg_npc_img 1763 12
chg_npc_img 1764 13
chg_npc_img 1765 12
chg_npc_img 1766 13
chg_npc_img 1767 14
sleep 4
chg_npc_img 1758 15
chg_npc_img 1759 16
chg_npc_img 1760 17
chg_npc_img 1761 18
chg_npc_img 1762 19
chg_npc_img 1763 18
chg_npc_img 1764 19
chg_npc_img 1765 18
chg_npc_img 1766 20
chg_npc_img 1767 21
chg_npc_img 1768 22
sleep 4
chg_npc_img 1759 23
chg_npc_img 1760 24
chg_npc_img 1761 25
chg_npc_img 1762 26
chg_npc_img 1763 25
chg_npc_img 1764 26
chg_npc_img 1765 25
chg_npc_img 1766 27
chg_npc_img 1767 28
sleep 4
chg_npc_img 1758 5
chg_npc_img 1759 6
chg_npc_img 1760 7
chg_npc_img 1761 8
chg_npc_img 1762 7
chg_npc_img 1763 8
chg_npc_img 1764 7
chg_npc_img 1765 8
chg_npc_img 1766 9
chg_npc_img 1767 10
chg_npc_img 1768 4
sleep 4
chg_npc_img 1759 11
chg_npc_img 1760 12
chg_npc_img 1761 13
chg_npc_img 1762 12
chg_npc_img 1763 13
chg_npc_img 1764 12
chg_npc_img 1765 13
chg_npc_img 1766 14
sleep 4
chg_npc_img 1757 15
chg_npc_img 1758 16
chg_npc_img 1759 17
chg_npc_img 1760 18
chg_npc_img 1761 19
chg_npc_img 1762 18
chg_npc_img 1763 19
chg_npc_img 1764 18
chg_npc_img 1765 20
chg_npc_img 1766 21
chg_npc_img 1767 22
sleep 4
chg_npc_img 1758 23
chg_npc_img 1759 24
chg_npc_img 1760 25
chg_npc_img 1761 26
chg_npc_img 1762 25
chg_npc_img 1763 26
chg_npc_img 1764 25
chg_npc_img 1765 27
chg_npc_img 1766 28
sleep 4
chg_npc_img 1757 5
chg_npc_img 1758 6
chg_npc_img 1759 7
chg_npc_img 1760 8
chg_npc_img 1761 7
chg_npc_img 1762 8
chg_npc_img 1763 7
chg_npc_img 1764 8
chg_npc_img 1765 9
chg_npc_img 1766 10
chg_npc_img 1767 4
sleep 4
chg_npc_img 1758 11
chg_npc_img 1759 12
chg_npc_img 1760 13
chg_npc_img 1761 12
chg_npc_img 1762 13
chg_npc_img 1763 12
chg_npc_img 1764 13
chg_npc_img 1765 14
sleep 4
chg_npc_img 1756 15
chg_npc_img 1757 16
chg_npc_img 1758 17
chg_npc_img 1759 18
chg_npc_img 1760 19
chg_npc_img 1761 18
chg_npc_img 1762 19
chg_npc_img 1763 18
chg_npc_img 1764 20
chg_npc_img 1765 21
chg_npc_img 1766 22
sleep 4
chg_npc_img 1757 23
chg_npc_img 1758 24
chg_npc_img 1759 25
chg_npc_img 1760 26
chg_npc_img 1761 25
chg_npc_img 1762 26
chg_npc_img 1763 25
chg_npc_img 1764 27
chg_npc_img 1765 28
sleep 4
chg_npc_img 1756 5
chg_npc_img 1757 6
chg_npc_img 1758 7
chg_npc_img 1759 8
chg_npc_img 1760 7
chg_npc_img 1761 8
chg_npc_img 1762 7
chg_npc_img 1763 8
chg_npc_img 1764 9
chg_npc_img 1765 10
chg_npc_img 1766 4
sleep 4
chg_npc_img 1757 11
chg_npc_img 1758 12
chg_npc_img 1759 13
chg_npc_img 1760 12
chg_npc_img 1761 13
chg_npc_img 1762 12
chg_npc_img 1763 13
chg_npc_img 1764 14
sleep 4
chg_npc_img 1755 15
chg_npc_img 1756 16
chg_npc_img 1757 17
chg_npc_img 1758 18
chg_npc_img 1759 19
chg_npc_img 1760 18
chg_npc_img 1761 19
chg_npc_img 1762 18
chg_npc_img 1763 20
chg_npc_img 1764 21
chg_npc_img 1765 22
sleep 4
chg_npc_img 1756 23
chg_npc_img 1757 24
chg_npc_img 1758 25
chg_npc_img 1759 26
chg_npc_img 1760 25
chg_npc_img 1761 26
chg_npc_img 1762 25
chg_npc_img 1763 27
chg_npc_img 1764 28
sleep 4
chg_npc_img 1755 5
chg_npc_img 1756 6
chg_npc_img 1757 7
chg_npc_img 1768 8
chg_npc_img 1759 7
chg_npc_img 1760 8
chg_npc_img 1761 7
chg_npc_img 1762 8
chg_npc_img 1763 9
chg_npc_img 1764 10
chg_npc_img 1765 4
sleep 4
chg_npc_img 1756 11
chg_npc_img 1757 12
chg_npc_img 1758 13
chg_npc_img 1759 12
chg_npc_img 1760 13
chg_npc_img 1761 12
chg_npc_img 1762 13
chg_npc_img 1763 14
sleep 4
chg_event_move_char_speed slow
move_char left 3
play_se train_stop2.ogg
chg_npc_img 1754 15
chg_npc_img 1755 16
chg_npc_img 1756 17
chg_npc_img 1757 18
chg_npc_img 1758 19
chg_npc_img 1759 18
chg_npc_img 1760 19
chg_npc_img 1761 18
chg_npc_img 1762 20
chg_npc_img 1763 21
chg_npc_img 1764 22
sleep 8
chg_npc_img 1755 23
chg_npc_img 1756 24
chg_npc_img 1757 25
chg_npc_img 1758 26
chg_npc_img 1759 25
chg_npc_img 1760 26
chg_npc_img 1761 25
chg_npc_img 1762 27
chg_npc_img 1763 28
sleep 8
chg_npc_img 1754 5
chg_npc_img 1755 6
chg_npc_img 1756 7
chg_npc_img 1757 8
chg_npc_img 1758 7
chg_npc_img 1759 8
chg_npc_img 1760 7
chg_npc_img 1761 8
chg_npc_img 1762 9
chg_npc_img 1763 10
chg_npc_img 1764 4
sleep 8
chg_npc_img 1755 11
chg_npc_img 1756 12
chg_npc_img 1757 13
chg_npc_img 1758 12
chg_npc_img 1759 13
chg_npc_img 1760 12
chg_npc_img 1761 13
chg_npc_img 1762 14
sleep 8
chg_npc_img 1753 15
chg_npc_img 1754 16
chg_npc_img 1755 17
chg_npc_img 1756 18
chg_npc_img 1757 19
chg_npc_img 1758 18
chg_npc_img 1759 19
chg_npc_img 1760 18
chg_npc_img 1761 20
chg_npc_img 1762 21
chg_npc_img 1763 22
sleep 8
chg_npc_img 1754 23
chg_npc_img 1755 24
chg_npc_img 1756 25
chg_npc_img 1757 26
chg_npc_img 1758 25
chg_npc_img 1759 26
chg_npc_img 1760 25
chg_npc_img 1761 27
chg_npc_img 1762 28
sleep 8
chg_npc_img 1753 5
chg_npc_img 1754 6
chg_npc_img 1755 7
chg_npc_img 1756 8
chg_npc_img 1757 7
chg_npc_img 1758 8
chg_npc_img 1759 7
chg_npc_img 1760 8
chg_npc_img 1761 9
chg_npc_img 1762 10
chg_npc_img 1763 4
sleep 8
chg_npc_img 1754 11
chg_npc_img 1755 12
chg_npc_img 1756 13
chg_npc_img 1757 12
chg_npc_img 1758 13
chg_npc_img 1759 12
chg_npc_img 1760 13
chg_npc_img 1761 14
sleep 8
chg_npc_img 1752 15
chg_npc_img 1753 16
chg_npc_img 1754 17
chg_npc_img 1755 18
chg_npc_img 1756 19
chg_npc_img 1757 18
chg_npc_img 1758 19
chg_npc_img 1759 18
chg_npc_img 1760 20
chg_npc_img 1761 21
chg_npc_img 1762 22
sleep 8
chg_npc_img 1753 23
chg_npc_img 1754 24
chg_npc_img 1755 25
chg_npc_img 1756 26
chg_npc_img 1757 25
chg_npc_img 1758 26
chg_npc_img 1759 25
chg_npc_img 1760 27
chg_npc_img 1761 28
sleep 8
chg_npc_img 1752 5
chg_npc_img 1753 6
chg_npc_img 1754 7
chg_npc_img 1755 8
chg_npc_img 1756 7
chg_npc_img 1757 8
chg_npc_img 1758 7
chg_npc_img 1759 8
chg_npc_img 1760 9
chg_npc_img 1761 10
chg_npc_img 1762 4
sleep 8
chg_npc_img 1753 11
chg_npc_img 1754 12
chg_npc_img 1755 13
chg_npc_img 1756 12
chg_npc_img 1757 13
chg_npc_img 1758 12
chg_npc_img 1759 13
chg_npc_img 1760 14
sleep 8
chg_npc_img 1751 15
chg_npc_img 1752 16
chg_npc_img 1753 17
chg_npc_img 1754 18
chg_npc_img 1755 19
chg_npc_img 1756 18
chg_npc_img 1757 19
chg_npc_img 1758 18
chg_npc_img 1759 20
chg_npc_img 1760 21
chg_npc_img 1761 22
sleep 8
chg_npc_img 1752 23
chg_npc_img 1753 24
chg_npc_img 1754 25
chg_npc_img 1755 26
chg_npc_img 1756 25
chg_npc_img 1757 26
chg_npc_img 1758 25
chg_npc_img 1759 27
chg_npc_img 1760 28
sleep 8
chg_npc_img 1751 5
chg_npc_img 1752 6
chg_npc_img 1753 7
chg_npc_img 1754 8
chg_npc_img 1755 7
chg_npc_img 1756 8
chg_npc_img 1757 7
chg_npc_img 1758 8
chg_npc_img 1759 9
chg_npc_img 1760 10
chg_npc_img 1761 4
sleep 8
chg_npc_img 1752 11
chg_npc_img 1753 12
chg_npc_img 1754 13
chg_npc_img 1755 12
chg_npc_img 1756 13
chg_npc_img 1757 12
chg_npc_img 1758 13
chg_npc_img 1759 14
sleep 8
move_char down 3
sleep 32
move_npc 1706 right 2
sleep 96
chg_event_move_char_speed normal
create npc_event 1707 17 7 4 71 1 2 「こんやは　かえさないよ
move_npc 1707 down 2
sleep 32
move_npc 1707 left 4
create npc_event 1708 17 7 4 72 1 2 none
move_npc 1708 down 2
sleep 32
move_npc 1708 left 3
sleep 32
chg_npc_dir 1707 right
sleep 16
create npc_event 1705 17 7 4 36 1 2 none
move_npc 1705 down 4
step_npc 1707 2
sleep 32
create npc_event 1704 17 7 4 35 1 2 none
move_npc 1704 down 1
sleep 16
move_npc 1704 right 2
sleep 16
move_npc 1705 left 3
step_npc 1708 2
sleep 32
create npc_event 1703 17 7 4 34 1 2 none
move_npc 1703 down 1
sleep 16
chg_npc_dir 1705 right
jump_npc 1703 down 2
sleep 16
jump_npc 1704 down 2
sleep 16
chg_npc_dir 1705 up
move_npc 1703 down 2
sleep 32
chg_npc_dir 1705 right
chg_npc_dir 1704 right
create npc_event 1702 17 7 4 1 1 2 none
move_npc 1702 down 3
sleep 32
chg_npc_dir 1704 up
sleep 32
chg_npc_dir 1703 right
create npc_event 1701 17 7 4 0 1 1 none
move_npc 1701 down 2
sleep 32
chg_npc_dir 1704 left
move_npc 1706 right 1
sleep 32
chg_npc_dir 1706 up
chg_npc_dir 1702 left
chg_npc_img 1702 98
step_npc 1702 2
msg バレット\n「おう！！\n　みんな　あつまれ！！
sleep 16
chg_npc_dir 1703 up
move_npc 1705 right 2
move_npc 1704 down 1
chg_npc_dir 1702 down
chg_npc_img 1702 1
sleep 16
move_npc 1704 left 1
sleep 16
chg_speed 1702 slow
move_npc 1702 down 1
move_npc 1704 down 1
move_npc 1705 down 1
sleep 16
chg_npc_dir 1704 up
chg_npc_dir 1705 up
sleep 32
chg_speed 1702 normal
chg_npc_dir 1702 up
msg バレット\n「よう！　クラウドさんよ！\n　あんたも　きいとけ！
sleep 16
chg_npc_dir 1702 down
sleep 32
chg_npc_dir 1706 down
chg_type 1706 npc
chg_speed 1706 not_move
