monster_party_id,organization_tbl
176,204:3
177,205:1
178,266:1
179,265:1
180,265:2
181,265:3
182,290:1
183,290:2
184,267:1
185,95:1
186,95:2
187,131:1
188,0:1
189,0:2
190,0:3
191,0:1/1:1
192,2:2
193,2:3
194,0:2/2:1
195,2:2/5:1
196,5:2
197,5:3
198,5:2/4:1
199,2:2/4:2
200,2:3/4:2
201,4:2/2:1
202,3:1
203,3:1/4:2
204,6:1
205,7:1
206,7:3
207,7:4
208,10:2
209,10:3
210,8:3
211,8:4
212,7:2/10:2
213,7:2/10:3
214,8:2/11:2
215,8:1/11:2
216,10:1/11:3
217,9:1
218,9:3
219,9:4
220,14:3
221,14:5
222,14:2/9:2
223,13:2/9:2
224,13:1
225,13:3
226,13:4
227,9:2/14:1
228,9:1/12:2
229,12:2/14:1
230,12:2
231,12:2/13:1
232,12:1/13:2
233,11:3
234,15:1
235,1:2/12:1
236,18:2
237,18:3
238,18:4
239,18:1/16:2
240,17:1
241,17:2
242,19:1
243,20:3
244,22:1
245,24:3
246,23:2
247,23:3
248,23:2/24:1
249,26:2/27:1
250,27:2
251,25:3
252,27:1/25:2
253,28:1
254,27:3
255,29:1
256,29:2
257,29:3
258,30:1
259,40:2
260,40:3
261,35:1
262,35:2
263,36:1
264,36:2
265,36:3
266,32:1
267,32:2
268,39:1
269,39:2
270,39:3
271,37:2
272,37:3
273,39:1/37:2
274,41:1
275,41:2
276,41:3
277,42:3
278,41:1/42:2
279,43:1
280,43:2
281,42:1/43:1
282,41:2/43:1
283,42:2
284,42:3
285,44:1/45:3
286,44:1
287,46:1/47:1
288,47:1
289,48:1/49:1
290,50:1
291,59:1
292,62:2
293,60:2
294,60:2/61:3
295,63:3
296,63:4
297,61:4
298,61:5
299,61:3/62:1
300,63:2/62:1/61:1
301,69:1
302,71:4
303,72:2
304,72:3
305,73:1
306,80:3
307,80:4
308,81:1
309,81:2
310,80:2/81:1
311,83:1
312,83:2
313,82:1/80:1
314,82:1
315,82:2
316,82:3
317,82:1/79:3
318,78:5
319,79:2/81:1
320,78:3/79:2
321,85:1/86:2
322,85:2/86:1
323,85:3
324,85:4
325,86:1
326,84:2
327,87:1
328,87:2
329,87:4
330,84:2/87:1
331,88:1
332,90:1
333,101:1
334,101:2
335,100:1
336,102:1
337,98:1/99:1
338,110:4
339,110:5
340,109:1
341,109:2
342,109:3
343,110:2/109:1
344,111:1
345,111:2
346,111:3
347,109:1/110:3
348,112:1
349,113:1/114:2
350,121:3
351,121:4
352,124:1
353,121:1/120:2
354,121:2/120:1
355,122:3
356,122:1/120:2
357,123:2
358,123:3
359,123:4
360,127:1
361,125:1
362,129:2
363,129:3
364,129:1/132:2
365,128:1
366,130:2/129:1
367,130:3
368,133:2/130:1
369,133:2
370,134:1
371,132:5
372,130:3
373,130:2/132:3
374,135:1
375,144:2/141:1
376,142:1/141:3
377,142:2
378,142:3
379,144:3/143:1
380,143:2
381,143:3
382,143:2/142:1
383,143:1/142:2
384,145:1
385,151:1
386,151:2
387,151:3
388,146:1
389,147:1
390,148:1
391,149:1
392,150:1
393,156:2/157:2
394,155:1/157:2
395,159:1
396,159:2
397,156:2
398,156:1/157:2
399,160:2
400,163:1
401,158:1/157:2
402,158:1/157:3
403,161:2
404,162:1
405,166:1/167:3
406,167:4/
407,167:2/166:3
408,171:1
409,171:2
410,171:3
411,166:3
412,166:4
413,165:1/166:2
414,169:3
415,166:2/171:1
416,166:3/171:1
417,170:1
418,168:1
419,175:3
420,176:3
421,175:2/176:1
422,177:1
423,173:2/177:1
424,177:1/179:1
425,178:1
426,178:2
427,180:2
428,180:3
429,182:1
430,181:1
431,181:4
432,180:2/181:1
433,183:1
434,184:2
435,184:3
436,185:2
437,180:2/185:1
438,186:1
439,184:4/187:1
440,189:1
441,189:2
442,190:1
443,191:2
444,191:3
445,193:2
446,192:1
447,191:2/193:1
448,194:1
449,194:2
450,194:3
451,195:1
452,192:1/194:2
453,192:2
454,196:2
455,191:2/196:1
456,197:1
457,188:1
458,198:1
459,199:1
460,200:1
461,200:2
462,200:3
463,200:2/199:1
464,210:2
465,210:3
466,214:1
467,214:2
468,210:2/200:1
469,211:1
470,211:2
471,215:1
472,215:2
473,215:3
474,218:1
475,216:1
476,217:2
477,220:2
478,219:1/223:1
479,221:2
480,221:1/219:2
481,222:1
482,222:2
483,224:1
484,227:1/215:2
485,227:2
486,261:2
487,261:3
488,263:2
489,262:1
490,262:2
491,262:1/261:2
492,264:1
493,229:2
494,229:1/230:2
495,230:4
496,230:2/229:1
497,232:1
498,233:1
499,234:1
500,231:1
501,235:1/228:1
502,206:1
503,206:2
504,207:1
505,208:1
506,219:1/151:2
507,228:1/151:2
508,219:1
509,237:1
510,237:2
511,237:3
512,238:1
513,239:1
514,240:1
515,240:2
516,240:1/237:1
517,244:2
518,244:3
519,244:2/240:1
520,245:1
521,241:1/236:1/243:1
522,248:1
523,250:1
524,250:2
525,250:3
526,251:1
527,253:1
528,254:1
529,257:1
530,260:1
531,269:1
532,269:2
533,273:1
534,274:1
535,268:2
536,268:3
537,282:1
538,283:1
539,283:2
540,282:1/268:2
541,182:1
542,284:1
543,277:1/278:1
544,276:1
545,276:2
546,275:1
547,279:3
548,281:1
549,280:1
550,285:1
551,286:1
552,287:1
553,270:1
554,270:2
555,289:4
556,261:2/263:1
557,20:1/21:1/20:1
558,40:4
559,38:4
560,46:1
561,47:1
562,40:2/0:4
563,38:3/40:3
564,37:2/38:4
565,291:1
566,292:2
567,292:1/293:2
568,293:2
569,293:3
570,293:3/294:2
571,294:3
572,293:5
573,294:2/292:1
574,292:3
