event_type,event_id,map_id,pos_x,pos_y,image_id,"direction(UP:0, DOWN:1, LEFT:2, RIGHT:3)","speed(not_move:0, slow:1, normal:2, fast:3, not_step:4)",param
event_generator,807,8,26,8,17,1,0,"@008/nanaban_makouro_jesse_jump.txt"
treasure_item,890,8,29,19,0,0,0,1000
event_generator,920,9,3,3,17,0,0,"@set_slide_walk.txt"
event_generator,921,9,3,4,17,0,0,"@reset_slide_walk_bottom.txt"
event_generator,922,9,13,7,17,0,0,"@reset_slide_walk.txt"
event_generator,923,9,13,8,17,0,0,"@set_slide_walk.txt"
event_generator,924,9,13,10,17,0,0,"@set_slide_walk.txt"
event_generator,925,9,13,11,17,0,0,"@reset_slide_walk_bottom.txt"
save_point,950,9,6,10,0,0,0,
event_generator,951,9,6,10,17,0,0,"@save_msg.txt"
treasure_materia,1000,10,8,17,3,0,0,4000
event_generator,1001,10,8,14,17,0,0,"@010/ichiban_makouro7.txt"
npc_event,1100,11,3,8,0,3,2,""
npc_event,1101,11,4,9,1,0,2,""
npc_event,1102,11,4,5,34,0,0,""
npc_event,1103,11,3,11,35,0,2,""
npc_event,1104,11,3,6,36,0,2,""
event_generator,1210,12,6,2,17,0,0,"@012/hanauri.txt"
npc_event,1301,13,11,26,3,1,0,""
npc_event,1302,13,5,29,17,3,2,""
npc_event,1303,13,4,27,17,3,2,""
npc_event,1304,13,13,31,17,0,2,""
npc_event,1320,13,9,29,73,3,2,""
npc_event,1321,13,4,29,74,3,2,""
npc_event,1322,13,9,25,69,1,2,""
npc_event,1327,13,21,25,90,2,2,""
npc_event,1328,13,14,34,90,0,2,""
event_generator,1330,13,16,25,17,0,0,"@013/hachibangai1.txt"
event_generator,1331,13,5,25,17,0,0,"@013/hachibangai2.txt"
event_generator,1332,13,5,26,17,0,0,"@013/hachibangai2.txt"
event_generator,1333,13,5,27,17,0,0,"@013/hachibangai2.txt"
map_door,1390,13,9,24,6,0,0,0
map_door,1391,13,5,24,6,0,0,0
treasure_item,1400,14,1,20,0,1,0,1000
npc3,1401,14,6,17,70,0,0,"「なにか　かべに　かいてあるな？
　なに　なに…


　　　　　　　しんらに　だまされるな！
　　　まこうエネルギーは　えいえん　ではない！
　　　　　　　まこうは　ほしの　いのち！
　　　　　　いつか　おわりが　やってくる！
　　　　ほしの　きゅうせいしゅ　アバランチ"
npc,1402,14,2,11,72,1,3,"「いったい　なにが　おきたって　いうのよ"
npc_event,1403,14,4,10,73,1,3,""
npc_event,1404,14,4,9,74,3,3,""
event_generator,1410,14,4,4,17,0,0,"@014/hachibangai3.txt"
event_generator,1411,14,5,4,17,0,0,"@014/hachibangai3.txt"
event_generator,1412,14,6,4,17,0,0,"@014/hachibangai3.txt"
event_generator,1413,14,4,8,17,0,0,"@014/hachibangai4.txt"
event_generator,1414,14,5,8,17,0,0,"@014/hachibangai4.txt"
event_generator,1415,14,6,8,17,0,0,"@014/hachibangai4.txt"
event_generator,1500,15,8,7,17,0,0,"@015/hachibangai5_1.txt"
event_generator,1501,15,7,7,17,0,0,"@015/hachibangai5_2.txt"
npc_event,1510,15,6,24,66,0,0,""
npc_event,1511,15,12,25,69,0,2,""
npc_event,1512,15,16,26,73,0,2,""
npc_event,1513,15,15,21,70,0,0,""
npc_event,1514,15,7,28,74,0,3,""
npc_event,1515,15,8,28,73,0,3,""
npc_event,1516,15,6,19,72,0,2,""
npc_event,1517,15,13,25,30,0,2,""
event_generator,1600,16,9,5,17,0,0,"@016/ressya_move1.txt"
event_generator,1602,16,9,5,17,0,0,"@016/ressya_1.txt"
map_door,1601,16,17,3,0,0,0,0
npc_event,1651,16,11,5,1,1,2,""
npc_event,1652,16,8,7,35,0,2,""
npc_event,1653,16,7,5,34,1,2,""
npc_event,1654,16,12,7,36,0,2,""
event_generator,1660,16,1,21,17,1,2,"@016/ressya_2.txt"
npc_event,1661,16,9,19,73,1,2,""
npc_event,1662,16,8,22,71,2,2,""
npc_event,1663,16,7,22,72,3,2,""
npc_event,1664,16,4,19,74,1,2,""
npc,1670,16,13,19,77,1,4,"「ん……？　ここは　おれんちだから
　まあ　ゆっくりしてけ"
npc,1671,16,11,22,70,1,0,"「しんらしんぶんの　ごうがい　みたかい？



　いちばんまこうろ　ばくはの　テロリストは
　スラムに　ひそんでる　らしいぞ


　しかし　まこうろばくは　とは　かんがえたよな
　リーダーは　さしずめ　あたまの　きれるやつだな
　つぎは　なにやるんだろうな？"
event_generator,1672,16,0,0,17,0,0,"@016/ressya_3.txt"
event_generator,1673,16,0,0,17,0,0,"@016/ressya_4.txt"
event_generator,1674,16,0,0,17,0,0,"@016/ressya_5.txt"
event_generator,1675,16,7,20,17,0,0,"@016/ressya_6.txt"
event_generator,1676,16,8,19,17,0,0,"@016/ressya_7.txt"
event_generator,1678,16,19,21,17,0,0,"@016/ressya_9.txt"
event_generator,1700,17,37,8,17,0,0,"@017/nanabangai_station1.txt"
npc_event,1706,17,11,9,94,3,1,"「ながいあいだ　えきいんを　していますとね
　いろんな　じんせいの　ばめんを
　もくげきすることに　なります

　であい　わかれ　よろこび　かなしみ……
　しょうしょうのことじゃ　おどろきません"
event_generator,1710,17,1,2,17,0,0,"@017/nanabangai_station2.txt"
npc_event,1730,17,14,2,68,2,0,""
npc_event,1731,17,18,2,66,1,0,""
npc_event,1732,17,18,3,70,0,0,""
npc_event,1733,17,28,2,72,1,0,""
npc_event,1734,17,37,3,89,1,2,""
map_obj,1748,17,8,8,4,0,0,0
map_obj,1749,17,9,8,4,0,0,0
map_obj,1750,17,10,8,4,0,0,0
map_obj,1751,17,11,8,4,0,0,0
map_obj,1752,17,12,8,4,0,0,0
map_obj,1753,17,13,8,4,0,0,0
map_obj,1754,17,14,8,4,0,0,0
map_obj,1755,17,15,8,4,0,0,0
map_obj,1756,17,16,8,4,0,0,0
map_obj,1757,17,17,8,4,0,0,0
map_obj,1758,17,18,8,4,0,0,0
map_obj,1759,17,19,8,4,0,0,0
map_obj,1760,17,20,8,4,0,0,0
map_obj,1761,17,21,8,4,0,0,0
map_obj,1762,17,22,8,4,0,0,0
map_obj,1763,17,23,8,4,0,0,0
map_obj,1764,17,24,8,4,0,0,0
map_obj,1765,17,25,8,4,0,0,0
map_obj,1766,17,26,8,4,0,0,0
map_obj,1767,17,27,8,4,0,0,0
map_obj,1768,17,28,8,4,0,0,0
map_obj,1769,17,29,8,4,0,0,0
map_obj,1770,17,30,8,4,0,0,0
map_obj,1771,17,31,8,4,0,0,0
map_obj,1772,17,32,8,4,0,0,0
map_obj,1773,17,33,8,4,0,0,0
map_obj,1774,17,34,8,4,0,0,0
map_obj,1775,17,35,8,5,0,0,0
map_obj,1776,17,36,8,6,0,0,0
map_obj,1777,17,37,8,7,0,0,0
map_obj,1778,17,38,8,8,0,0,0
map_obj,1779,17,39,8,7,0,0,0
map_obj,1780,17,40,8,8,0,0,0
map_obj,1781,17,41,8,7,0,0,0
map_obj,1782,17,42,8,8,0,0,0
map_obj,1783,17,43,8,7,0,0,0
map_obj,1784,17,44,8,8,0,0,0
map_obj,1785,17,45,8,7,0,0,0
map_obj,1786,17,46,8,8,0,0,0
map_obj,1787,17,47,8,9,0,0,0
map_obj,1788,17,48,8,10,0,0,0
event_generator,1800,99,9,9,17,0,0,"@018/nanabangai_station12_1.txt"
event_generator,1801,99,9,10,17,0,0,"@018/nanabangai_station12_2.txt"
event_generator,1802,99,9,11,17,0,0,"@018/nanabangai_station12_3.txt"
event_generator,1803,99,9,12,17,0,0,"@018/nanabangai_station12_4.txt"
event_generator,1804,99,9,13,17,0,0,"@018/nanabangai_station12_5.txt"
event_generator,1805,99,9,14,17,0,0,"@018/nanabangai_station12_6.txt"
npc2,1806,18,2,2,66,1,0,""
npc2,1807,18,2,3,70,0,0,""
npc2,1808,18,12,2,72,1,2,""
npc2,1809,18,6,2,89,1,2,""
event_generator,1900,19,1,1,17,0,0,"@019/nanabangai1.txt"
event_generator,1901,19,1,2,17,0,0,"@019/nanabangai2.txt"
event_generator,1902,19,2,1,17,0,0,"@019/nanabangai3.txt"
event_generator,1903,19,10,19,17,0,0,"@019/nanabangai4_1.txt"
event_generator,1904,19,10,20,17,0,0,"@019/nanabangai4_2.txt"
event_generator,1905,19,10,21,17,0,0,"@019/nanabangai4_3.txt"
npc,1906,19,8,26,32,0,0,"「きさま　なんのようだ？
　このおれが　なにものか　しらんわけ　ないだろう？


　ここからさきは　たちいりきんしだ
　おれはここで　おまえみたいな　ふろうしゃを
　おっぱらう　ケチなしごとを　してるんだ

　わかったら　さっさとうせろ！！"
npc,1907,19,7,26,32,0,0,"「あっ　あっ　あの……
　すいません
　ここからさきは　たちいりきんし　なんですが"
npc,1908,19,7,13,70,0,0,"「おっ！！
　おっおっと！！


　ああ　なんてことを！！
　じゃましないでくれよ……ったく！


　ん？
　あんたも　みにきたのか？


　うえで　ばくだんテロが　あったんだってよ
　このはしらが　ぶっとんだら　このスラムも
　おわりだからな……

　まぁ　しんぱいするだけ　むだだったな



　なあ！！　みてみろよ
　いつみても　どでかい　はしらだなぁ"
event_generator,1910,19,2,19,17,0,0,"@019/nanabangai_slum1_1.txt"
event_generator,1911,19,2,20,17,0,0,"@019/nanabangai_slum1_2.txt"
event_generator,1912,19,2,21,17,0,0,"@019/nanabangai_slum1_3.txt"
save_point,1950,19,5,15,0,0,0,
event_generator,1951,19,5,15,17,0,0,"@save_msg.txt"
event_generator,1960,19,14,19,17,0,0,"@019/nanabangai_station13.txt"
event_generator,1961,19,14,20,17,0,0,"@019/nanabangai_station13.txt"
event_generator,1962,19,14,21,17,0,0,"@019/nanabangai_station13.txt"
event_generator,2016,20,26,22,17,0,0,"@020/nanabangai_slum5.txt"
npc,2018,20,26,21,17,0,0,"「あけないよ！！
　かえってちょうだい"
npc,2019,20,27,33,17,0,0,"「ほんじつは　へいてん　いたしました
　またの　ごらいてんを　おまちして　おります"
map_door,2090,20,26,21,1,0,0,0
map_door,2091,20,27,33,1,0,0,0
map_door,2092,20,22,26,2,0,0,0
map_door,2093,20,35,24,1,0,0,0
map_door,2094,20,34,32,7,0,0,0
map_door,2095,20,34,29,7,0,0,0
map_door,2190,21,5,11,4,0,0,0
map_door,2290,22,5,13,3,0,0,0
map_door,2490,24,7,10,4,0,0,0
map_door,2590,25,2,10,4,0,0,0
map_door,2591,25,7,4,4,0,0,0
map_door,2690,26,4,11,5,0,0,0
map_door,2790,27,5,9,4,0,0,0
event_generator,2100,21,5,9,17,0,0,"@021/nanabangai_slum7.txt"
event_generator,2101,21,1,1,17,0,0,"@021/nanabangai_slum8_1.txt"
event_generator,2102,21,1,2,17,0,0,"@021/nanabangai_slum8_2.txt"
npc_event,2106,21,4,5,77,0,0,マテリアや
npc2,2107,21,4,6,17,0,0,""
npc2,2108,21,5,5,17,0,0,""
event_generator,2200,22,5,13,17,0,0,"@022/seventhheaven1.txt"
event_generator,2260,22,5,12,17,0,0,"@022/seventhheaven_out1_before.txt"
npc_event,2201,22,5,7,37,0,0,"マリン
「…………"
npc_event,2202,22,4,7,2,3,0,"ティファ
「クラウド　ごめんね
　マリン　てれちゃってる　みたい"
npc_event,2203,22,2,9,34,3,0,"ジェシー
「う▼か▼つ▼……
　なんだか　ドキドキしてる

　なぜなの……？"
npc_event,2204,22,3,8,35,1,0,"ビックス
「ああ～！！
　しごとのあとの　いっぱいは
　こたえらんねぇなぁ
　ヒック！！



　クラウドさんも　おひとつ　どうですか？



#2
　　いらないな
　　そうだな　もらおうか


[[「なに～！！
　おれさまの　さけが　のめないってかぁ？


　もとソルジャー　だからって
　おたかく　とまってんじゃねえぞ！]]
[[「おっ！！
　いいこころがけ　じゃねぇか！！


　もとソルジャーでも
　ここじゃ　おめえも　しんじんだ
　しんじんにとっちゃ　せんぱいのいうことは
　ぜったい　だからな！]]"
npc_event,2205,22,3,10,36,0,0,"ウェッジ
「あ　クラウドさん！


　ティファちゃんの　りょうりって
　おいしいっすねえ
　パクパク……

　でも　きいてくれます？



#2
　　なにを
　　おまえの　はなしなんて　きょうみないね


[[「ティファちゃんって
　いつも　おれに
　りょうりの　あじみを　させるっすよ

　おかげで　ほら
　おれ　こんなまるっこく　なっちゃって


　うれしいやら　かなしいやら
　おいしい　りょうりと　おさけが　ひょうばんで
　おみせは　はんじょう　してるんですけどね]]
[[「クラウドさん……
　……いや　なんでも　ないっす]]"
map_obj,2250,22,5,5,1,0,0,0
map_obj,2251,22,8,4,3,0,0,0
npc,2304,23,2,4,1,2,0,"バレット
「おい　クラウドさんよ
　ききたいことが　あるんだ

　きょう　オレたちが　たたかった　あいてに
　ソルジャーは　いたのか？"
npc3,2306,23,6,4,34,0,0,"ジェシー
「うかつ……


　みてよ　このニュース……
　こんなに　ばくはつしてる


　やっぱり　わたしの　ばくだんの　せい？
　でも　このコンピューターの　しじどおり
　つくった　だけなのに

　やだ！
　どっかで　けいさん　まちがったかしら"
npc,2307,23,3,6,35,3,0,"ビックス
「……うぃ～
　バレットのやつ　きが　たってるな
　ほうしゅうの　はなしは　あとがいいぜ"
npc3,2308,23,5,6,36,2,4,"ウェッジ
「もしかして　おれ　かたまってます？


#2
　　ああ
　　いや……


[[「つぎの　さくせんは
　5ばんまこうろ　ばくは！！
　おれ　きんちょうしちまって　ガチガチ　なんすよ

　クラウドさんは　さっすがすねー
　ぜんぜん　きんちょうとか　しないでしょ？


　もしかして　なにも　かんじないとか？
　エヘヘ……そんなわけ　ないっすよね]]
[[「いや～　いいっすよ
　きを　つかって　くれなくても
　おれ　からだに　にあわず　しょうしんものっすから]]"
npc,2309,23,3,4,37,2,0,"マリン
「とうちゃーん
　かっこいい！"
npc2,2320,23,1,4,17,0,0,""
event_generator,2301,23,0,0,17,0,0,"@023/azito2.txt"
event_generator,2360,23,4,4,17,0,0,"@023/azito_out_before.txt"
npc,2400,24,2,6,78,3,0,"「あんなこでも　いなくなってみるとね
　なんだか　おちつかなくて
　……ふしぎなものね"
npc,2401,24,4,6,77,2,1,"「ハッハッ……
　むすこは　もう　たびだちましたかな？


　こうして　かないと　わたし
　ふたりきりに　なってみると
　いやはや　さびしいもの　ですなあ

　ハッハッ……　わかいうちはね
　すきなことを　やらせてみようと　おもっていても
　やっぱり　しんぱいなのは　いけませんなあ

　おやとして　しゅぎょうが　たりませんなあ



　ところで　あなた
　こきょうは　おありですかな？


#2
　　ニブルヘイムという　むらだ
　　そんな　めんどうなものは　すてたさ


[[「ほう……あのニブルヘイムむら　ですか
　ほら　なんねんかまえに　ニュースに
　なったことが　ありましたなあ

　あのときは　たしか……
　まこうろの　じこでしたか


　とうじは　さいしょの
　おおきな　まこうろじこ　ということで
　ずいぶん　わだいに　なりましたなあ]]
[[「ハッハッ……
　まあ　それもいいでしょうなあ


　でも　もし　あなたにも　かぞくが
　おありなら　てがみぐらい　かいてあげるのが
　いいですなあ

　こきょうはね　しらんぷりを　していても
　いつでも　あなたを　まってますよ


　ハッハッ……
　まあ　そんなもんですなあ]]"
event_generator,2402,24,1,1,17,0,0,"@024/nanabangai_slum23.txt"
event_generator,2500,25,4,7,17,0,0,"@025/nanabangai_slum9.txt"
npc_event,2501,25,4,5,79,3,0,
npc2,2502,25,4,6,17,0,0,""
event_generator,2503,25,1,1,17,0,0,"@025/nanabangai_slum10.txt"
npc2,2504,25,7,8,89,2,0,""
event_generator,2505,25,1,2,17,0,0,"@025/nanabangai_slum11.txt"
npc,2510,25,4,9,17,0,0,"「よう！！
　なんだ　おまえ？


　おれに　はなしかけるってことは　しろうとだな？



#2
　　しろうとだ
　　おれは　もとソルジャーの　クラウドだ


[[]]
[[]]"
npc_event,2511,25,4,10,51,0,0,"none"
event_generator,2530,25,1,1,17,0,0,"@025/nanabangai_slum25.txt"
event_generator,2531,25,2,10,17,0,0,"@025/nanabangai_slum26.txt"
npc2,2600,26,4,7,17,0,0,""
npc,2601,26,3,8,90,3,0,"「ん………！！
　なんだ　てめぇは？
　ここは　ぶがいしゃ　たちいりきんしだぞ

　まあ　きょうは　とくべつだ
　ここだけのはなし
　いいニュースが　あったからな

　あんたも　しってるか？



#2
　　また　そのはなしか
　　…………


[[]]
[[「なんでもよう……
　アバランチ　とかいう　テロしゅうだんが
　いちばんまこうろを　ばくは　したって　はなしだ

　おもてむきは　はんしんらが　どうしたとかって
　せいめいが　でてるらしいがよ
　しんそうはな……

　むさべつ　たいりょう　さつじんが
　もくてきだって　うわささ


　ガハハハハ！！



　わらわせて　くれるじゃねぇか！？
　うえで　ゴタゴタ　やってくれりゃよ
　ぶきやとしては　おおだすかり　ってやつよ

　このざいこの　やまも　はけちまえば　いいがな]]"
npc_event,2602,26,6,6,66,2,0,"none"
npc_event,2603,26,3,3,91,1,0,"none"
npc_event,2604,26,4,3,70,1,0,"none"
npc_event,2605,26,2,2,79,1,0,"none"
npc_event,2606,26,2,4,67,0,0,"none"
npc_event,2607,26,2,5,65,1,0,"none"
npc,2608,26,6,5,40,1,0,"「うっとり……くるくる……
　これがうわさの　『セーブポイント』！！"
event_generator,2609,26,1,1,17,0,0,"@026/nanabangai_slum15.txt"
event_generator,2632,26,4,6,17,0,0,"@026/beginner's_hall7.txt"
event_generator,2633,26,4,6,17,0,0,"@026/beginner's_hall8.txt"
event_generator,2635,26,6,4,17,0,0,"@save_msg.txt"
event_generator,2640,26,1,1,17,0,0,"@026/beginner's_hall11.txt"
event_generator,2643,26,1,1,17,0,0,"@026/beginner's_hall14.txt"
map_obj,2691,26,4,7,30,0,0,0
event_generator,2701,27,4,6,17,0,0,"@027/nanabangai_slum14_1.txt"
event_generator,2702,27,5,5,17,0,0,"@027/nanabangai_slum14_2.txt"
event_generator,2703,27,6,6,17,0,0,"@027/nanabangai_slum14_3.txt"
npc_event,2803,28,15,4,34,1,0,"none"
npc_event,2804,28,10,8,35,0,2,"none"
npc_event,2805,28,11,4,36,1,0,"none"
npc_event,2806,28,16,4,73,0,2,"none"
npc,2807,28,3,4,77,1,4,"「ん……？
　おれんちきて　あいさつするのは
　あんただけ

　かんしん　かんしん"
event_generator,2810,28,11,5,17,0,0,"@028/train1.txt"
event_generator,2811,28,5,6,17,0,0,"@028/train2.txt"
event_generator,2812,28,18,6,17,0,0,"@028/train3_1.txt"
event_generator,2813,28,17,5,17,0,0,"@028/train3_2.txt"
event_generator,2814,28,16,4,17,0,0,"@028/train3_3.txt"
event_generator,2817,28,1,1,17,0,0,"@028/target_talk.txt"
event_generator,2823,28,19,6,17,0,0,"@028/countdown_end.txt"
map_door,2850,28,3,10,0,0,0,0
map_door,2851,28,17,3,0,0,0,0
npc_event,2900,29,1,6,0,3,3,"none"
npc_event,2901,29,2,6,34,2,3,"none"
npc_event,2902,29,16,6,35,2,3,"none"
npc_event,2903,29,14,6,36,2,3,"none"
npc,2904,29,4,4,66,1,4,"「やぁ……
　あんたたち　そうぞうしいねえ


　まあまあ　おちついて"
npc,2905,29,13,4,67,1,4,"「もぅ！！
　いいおとなが　ドタバタと


　れっしゃのなかでは
　おぎょうぎよくしてね"
npc_event,2906,29,10,7,65,1,0,"「ヒュ～ン！！
　ヒュ～ン！！"
npc_event,2907,29,11,7,89,3,0,"「ひょっとしてこれ
　ボクら　だいピンチってやつかい？"
npc,2908,29,18,8,47,0,4,"「あ～ん？
　なっん～だっ！"
event_generator,2910,29,13,6,17,0,0,"@028/countdown_start.txt"
event_generator,2911,29,19,6,17,0,0,"@028/countdown_end.txt"
event_generator,2912,29,1,1,17,0,0,"@029/target_talked1.txt"
map_door,2951,29,17,3,0,0,0,0
npc_event,3003,30,6,6,34,2,0,"none"
npc_event,3004,30,7,6,77,2,3,"none"
npc_event,3005,30,10,4,71,0,0,"ジョニー
「さらば　グッバイ　アディオス！
　ミッドガル！！"
npc_event,3006,30,16,4,70,1,0,"「に　にげばがない……"
npc_event,3007,30,16,5,72,0,0,"none"
event_generator,3010,30,8,6,17,0,0,"@028/countdown_start.txt"
event_generator,3011,30,19,6,17,0,0,"@028/countdown_end.txt"
event_generator,3014,30,14,6,17,0,0,"@030/train6.txt"
event_generator,3015,30,1,1,17,0,0,"@030/target_talked1.txt"
event_generator,3016,30,1,1,17,0,0,"@030/target_talked2.txt"
map_door,3051,30,17,3,0,0,0,0
npc,3103,31,5,4,110,2,0,"「ブルブルブル……



　ひどいんです
　いまどき　おいはぎ
　みぐるみ　はぐんですから"
npc,3104,31,8,7,111,0,2,"「わかりますっ？



　めがさめたら　すっぱだかで
　おとこさんにんだったきぶん！


　わかんないでしょうねぇ"
npc,3105,31,15,4,110,3,0,"「こわい　としうえのじょせいが
　ばくだんを　つきつけて……


　ことわれませんでした　ハイ"
npc,3106,31,11,5,72,2,3,"「ほら　とっときな！"
event_generator,3110,31,1,6,17,0,0,"@028/countdown_start.txt"
event_generator,3111,31,19,6,17,0,0,"@028/countdown_end.txt"
event_generator,3112,31,1,1,17,0,0,"@031/target_talked.txt"
map_door,3151,31,17,3,0,0,0,0
npc_event,3203,32,16,4,107,1,0,"ジェシー
「わたし　ジェシーよ
　どう　クラウド？

　しんらのせいふく　にあってるかな？



#2
　　そうだな……
　　いまは　それどころじゃない


[[]]
[[]]"
npc_event,3204,32,17,7,108,2,0,"ビッグス
「おれだ　ビッグスだ
　あとは　まかせとけ"
npc_event,3205,32,11,7,109,2,0,"ウェッジ
「わかるっすか？
　おれ　ウェッジっす！

　さくせん　ばっちりせいこうっすね "
npc2,3208,32,13,4,33,0,0,""
treasure_box3,3206,32,9,4,2,0,0,1000
treasure_box3,3207,32,5,5,2,0,0,1000
map_door,3251,32,17,3,0,0,0,0
event_generator,3210,32,1,6,17,0,0,"@028/countdown_start.txt"
event_generator,3214,32,1,1,17,0,0,"@032/target_talked2.txt"
event_generator,3215,32,1,1,17,0,0,"@032/target_talked3.txt"
npc_event,3301,33,5,15,32,3,0,""
npc_event,3302,33,5,17,32,3,0,""
event_generator,3310,33,6,11,17,0,0,"@033/winding_tunnel2_1.txt"
event_generator,3311,33,7,11,17,0,0,"@033/winding_tunnel2_2.txt"
event_generator,3312,33,9,11,17,0,0,"@033/winding_tunnel2_3.txt"
event_generator,3313,33,10,11,17,0,0,"@033/winding_tunnel2_4.txt"
event_generator,3314,33,6,12,17,0,0,"@033/winding_tunnel3_1.txt"
event_generator,3315,33,7,12,17,0,0,"@033/winding_tunnel3_2.txt"
event_generator,3316,33,9,12,17,0,0,"@033/winding_tunnel3_3.txt"
event_generator,3317,33,10,12,17,0,0,"@033/winding_tunnel3_4.txt"
npc_event,3400,34,7,19,0,0,2,"none"
npc_event,3401,34,7,17,1,1,2,"none"
npc_event,3402,34,6,17,2,1,2,"none"
event_generator,3410,34,7,16,17,0,0,"@034/winding_tunnel1.txt"
event_generator,3420,34,6,3,17,0,0,"@034/winding_tunnel_exit1_1.txt"
event_generator,3421,34,7,3,17,0,0,"@034/winding_tunnel_exit1_2.txt"
event_generator,3422,34,8,3,17,0,0,"@034/winding_tunnel_exit1_3.txt"
event_generator,3423,34,9,3,17,0,0,"@034/winding_tunnel_exit1_4.txt"
event_generator,3424,34,10,3,17,0,0,"@034/winding_tunnel_exit1_5.txt"
event_generator,3425,34,6,26,17,0,0,"@034/winding_tunnel_exit2_1.txt"
event_generator,3426,34,7,26,17,0,0,"@034/winding_tunnel_exit2_2.txt"
event_generator,3427,34,8,26,17,0,0,"@034/winding_tunnel_exit2_3.txt"
event_generator,3428,34,9,26,17,0,0,"@034/winding_tunnel_exit2_4.txt"
event_generator,3429,34,10,26,17,0,0,"@034/winding_tunnel_exit2_5.txt"
npc2,3503,35,7,14,17,0,0,""
npc2,3504,35,8,14,17,0,0,""
npc2,3505,35,9,14,17,0,0,""
npc2,3506,35,6,16,17,0,0,""
